,,,,,,
,,,,,,
SKU,Description,RRP inc VAT,RRP ex VAT,"Suggested 
Promo Inc VAT",New Promo Inc vat,Promo Increase Inc Vat
RIDE ON,,,,,,
Stiga ride on Battery swappable,,,,,,
2T0250481/ST1M,Swift 372e - 4 x 5ah included,"£3,249.00","£2,707.50","£2,999.00","£3,149.00",£150.00
2T2210481/ST1,Estate 384e (Bare Tool),"£2,699.00","£2,249.17","£2,499.00","£2,599.00",£100.00
2T2805481/ST1,Estate 598e (Bare Tool),"£2,999.00","£2,499.17","£2,799.00","£2,949.00",£150.00
2T0670481/ST1,Tornado 398e (Bare Tool),"£2,399.00","£1,999.17","£2,199.00","£2,299.00",£100.00
2T1275481/ST1,Tornado 5108e (Bare Tool),"£2,799.00","£2,332.50","£2,599.00","£2,699.00",£100.00
279000004/ST1,ePower Pro 40Ah Battery,£899.00,£749.17,£799.00,£849.00,£50.00
Stiga ride on Battery built in,,,,,,
2T2200481/ST2,Estate 384e,"£3,999.00","£3,332.50","£3,699.00","£3,849.00",£150.00
2T2205481/ST2,Estate 584e,"£4,699.00","£3,915.83","£4,299.00","£4,499.00",£200.00
2T2800481/ST2,Estate 798e,"£5,899.00","£4,915.83","£5,399.00","£5,649.00",£250.00
2T0660481/ST2,Tornado 398e,"£3,899.00","£3,249.17","£3,599.00","£3,749.00",£150.00
2T0665481/ST2,Tornado 598e,"£4,599.00","£3,832.50","£4,199.00","£4,399.00",£200.00
2T1270481/ST2,Tornado 7108e,"£5,399.00","£4,499.17","£4,999.00","£5,199.00",£200.00
Stiga ride on Petrol,,,,,,
2T0070481/ST2,Combi 166,"£1,939.00","£1,615.83","£1,799.00","£1,899.00",£100.00
2T0210481/ST2,Combi 372,"£2,399.00","£1,999.17","£2,199.00","£2,299.00",£100.00
2T2000481/ST3,Estate 384 M,"£2,159.00","£1,799.17","£1,999.00","£2,099.00",£100.00
2T2100481/ST1,Estate 384,"£2,699.00","£2,249.17","£2,499.00","£2,599.00",£100.00
2T2620481/ST2,Estate 598,"£2,999.00","£2,499.17","£2,799.00","£2,899.00",£100.00
2T2630481/ST2,Estate 598 W,"£3,249.00","£2,707.50","£2,999.00","£3,099.00",£100.00
2T0810481/ST1,Estate 798,"£3,269.00","£2,724.17","£2,999.00","£3,099.00",£100.00
2T0830481/ST1,Estate 798 W,"£3,599.00","£2,999.17","£3,299.00","£3,399.00",£100.00
2T0990481/ST1,Estate 7102 W,"£4,099.00","£3,415.83","£3,799.00","£3,899.00",£100.00
2T0970381/ST1,Estate 7102 W Special (Honda),"£4,699.00","£3,915.83","£4,299.00","£4,399.00",£100.00
2T1315381/ST1,Estate 9122 W (Honda),"£5,399.00","£4,499.17","£4,999.00","£5,149.00",£150.00
2T1430381/ST2,Estate 9102 WX (Honda),"£7,599.00","£6,332.50","£6,999.00","£7,199.00",£200.00
2T1535381/ST2,Estate 9122 WX (Honda),"£8,199.00","£6,832.50","£7,499.00","£7,699.00",£200.00
2T0510481/ST3,Tornado 398 M,"£1,949.00","£1,624.17","£1,799.00","£1,899.00",£100.00
2T0610481/ST1,Tornado 398,"£2,399.00","£1,999.17","£2,199.00","£2,299.00",£100.00
2T1215481/ST1,Tornado 5108,"£2,619.00","£2,182.50","£2,399.00","£2,499.00",£100.00
2T1220481/ST2,Tornado 5108 W,"£2,999.00","£2,499.17","£2,799.00","£2,899.00",£100.00
2T1850481/ST1,Tornado 7108 W,"£4,299.00","£3,582.50","£3,999.00","£4,099.00",£100.00
2T1835381/ST1,Tornado 7108 W Special (Honda),"£4,699.00","£3,915.83","£4,299.00","£4,399.00",£100.00
2T1950381/ST1,Tornado 9121 W (Honda),"£5,469.00","£4,557.50","£4,999.00","£5,149.00",£150.00
Mountfield ride ons,,,,,,
2T0052483/CAS,827M,"£1,729.00","£1,440.83","£1,599.00","£1,649.00",£50.00
2T0210483/M22,1328H,"£2,399.00","£1,999.17","£2,199.00","£2,299.00",£100.00
2T2010483/M25,1330M,"£2,159.00","£1,799.17","£1,999.00","£2,099.00",£100.00
2T2120483/M25,1530H,"£2,699.00","£2,249.17","£2,499.00","£2,599.00",£100.00
