sku,title,barcode
EF-ZEPHYR-72/13H,Efco Zephyr 72H Compact Ride-On Mower with Hydrostatic Drive,8026619029159
AGFA-45-0101,Agri-Fab 340kg-Capacity Steel Tipping-Trailer | 45-0101,4006825609011
AGFA-45-0492,Agri-Fab Smart-Sweep 122cm Towed Lawn & Leaf Sweeper | 45-0492,52613102060
AGFA-45-0218,Agri-Fab 66cm Hand-Propelled Lawn Sweeper | 45-0218,52613452189
AGFA-45-0530,Agri-Fab 39kg-Capacity Towed Broadcast Spreader | 45-0530,052613104637
AGFA-45-0527,Agri-Fab 50kg-Capacity Towed Broadcast Spreader | 45-0527,
AGFA-45-0531,Agri-Fab 39kg-Capacity Deluxe Hand-Propelled Broadcast Spreader | 45-0531,00100010387686
AF-45-0567,Agri-Fab 50kg-Capacity Hand-Propelled Broadcast Spreader | 45-0567,
AGFA-45-0545,Agri-Fab 107cm Towed 2-in-1 Aerator/Spreader | 45-0545,5051435033588
AGFA-45-0299,Agri-Fab 122cm Towed Plug-Type Aerator | 45-0299,52613452998
AGFA-45-0294,Agri-Fab 102cm Spring-Tine Dethatcher | 45-0294,
AGFA-45-0295,Agri-Fab 122cm Spring-Tine Dethatcher | 45-0295,52613452950
AGFA-45-0268,Agri-Fab 92cm Tow-Behind Lawn & Garden Roller | 45-0268,
AGFA-45-0269,Agri-Fab 122cm Tow-Behind Lawn & Garden Roller | 45-0269,52613452691
AGFA-45-0267,Agri-Fab 60cm Push/Tow Lawn & Garden Roller | 45-0267,52613452677
FLY-FTL250,Flymo Turbo Lite 250 Electric Hover Mower,7391883816981
FLY-FES340R,Flymo EasiStore 340R Electric 4-Wheel Roller Lawnmower,7392930297227
LFP-448HW,"Lawnflite-Pro 448HW Professional Self-Propelled Petrol Lawnmower (with 2-Speed Drive, Blade-Brake Clutch & Honda Engine)",
LFP-553HWS,"Lawnflite-Pro 553HWS Professional Self-Propelled Petrol Lawnmower (with 2-Speed Drive, Blade-Brake Clutch & Honda Engine)",
LFP-553HWS-PRO,"Lawnflite-Pro 553HWS-PRO Professional Self-Propelled Petrol Lawnmower (with 2-Speed Drive, Blade-Brake Clutch & Honda Engine)",
LFP-553HWSP-HST,"Lawnflite-Pro 553HWSP-HST Professional Self-Propelled Petrol Lawnmower (with Hydrostatic Drive, Blade-Brake Clutch & Honda Engine)",5050581002462
MF-SP555V,Mountfield SP555-V 3-in-1 Variable-Speed Petrol Lawnmower (with Honda Engine),
MASP-482948,Masport 500 AL Hand-Propelled  Petrol Lawnmower with Low-Vibration Handlebar,9414974657732
LFP-448SJR,Lawnflite-Pro 448SJR Professional Shaft-Driven Petrol Rear-Roller Lawnmower,
LFP-553HRS,Lawnflite-Pro 553HRS Professional Shaft-Driven Petrol Rear-Roller Lawnmower with Blade-Brake Clutch & Honda Engine,
LFP-553HRS-PROHS,Lawnflite-Pro 553HRS-PROHS Professional Shaft-Driven Petrol Rear-Roller Lawnmower (with Honda Engine),5050581002448
MASP-457949,Masport Rotarola RR 18 Hand-Propelled Petrol Rear-Roller Lawnmower,
MF-S461R-PD,Mountfield S461R-PD Self-Propelled Petrol Rear-Roller Lawnmower,8008984817418
MASP-419090,Masport Olympic 400 Petrol Cylinder Mower,
MASP-419091,Masport Olympic 500 Cylinder Mower,
MASP-19028-OLYMPIC-660,Masport Olympic 660 Petrol Cylinder Mower,3665733000245
MASP-419103,Masport Olympic Golf Petrol Cylinder-Mower,9414974191038
HAN-THHM,The Handy THHM Manual Cylinder-Mower,5060012803476
ECH-ES-250ES,Echo ES-250ES Shred N' Vac® Handheld Petrol Blower-Vacuum,4934110700047
ST-SH-56-CE,STIHL SH 56-CE Handheld Garden Vacuum-Shredder,0886661909698
ST-SH-86-CE,STIHL SH 86 C-E Handheld Garden Vacuum-Shredder,
ST-BG-56-CE,STIHL BG 56-CE Handheld Petrol Leaf-Blower,0886661268665
ST-BG-86-C-E,STIHL BG 86 C-E Handheld Petrol Leaf-Blower,0000000000000
ST-SHE-71,STIHL SHE-71 Electric Hand-Held Garden Blower-Vac,
ECH-SRM-3611TL,Echo SRM-3611TL High-Torque Petrol Brushcutter,4934110707824
ST-FS40,STIHL FS40 Curved-Shaft Grass Trimmer,
ST-FS55,STIHL FS55 Lightweight Brushcutter,
ST-FS56R,STIHL FS55 R Lightweight Brushcutter,
ST-FS56-C-E,STIHL FS56 C-E Lightweight Brushcutter with ErgoStart,
ST-FS56-RC-E,STIHL FS56 RC-E Lightweight Brushcutter with ErgoStart,
ST-FS461-C-EM,STIHL FS461 C-EM Professional Clearing-Saw,0000000000000
ST-FR460-TC-FEM,STIHL FR460 TC-FEM Backpack Brushcutter with Self-Tuning Engine & Electro-Start,
FLY-FMINITRIMSTD,Flymo Mini-Trim ST Electric Grass-Trimmer,7391736970648
FLY-FCONTOURXT,Flymo Contour XT 2-in-1 Electric Grass-Trimmer & Lawn Edger,
FLY-FCONTOUR500E,Flymo Contour 500E 3-in-1 Electric Grass-Trimmer,7393080639219
ST-FSE-31,STIHL FSE 31 Electric Grass-Trimmer,0795711374334
ECH-HC-2020,Echo HC-2020 Petrol Hedgetrimmer,4934110711074
ECH-HC-2020R,Echo HC-2020R Petrol Hedgetrimmer,4934110705837
ECH-HCR-165ES,Echo HCR-165ES Petrol Hedgetrimmer,4934110714709
ECH-HCS-2810ES,Echo HCS-2810ES Single-Sided Petrol Hedgetrimmer,0000000000000
ECH-HCS-3810ES,Echo HCS-3810ES Single-Sided Petrol Hedgetrimmer,0000000000000
ECH-HCA-265ES-HD,Echo HCA-265ES-HD Long-Reach Petrol Hedgetrimmer,4934110705639
ST-HS45-18,STIHL HS45-18 Petrol Hedgetrimmer (45cm Blades),0886661909360
ST-HS45-24,STIHL HS45-24 Petrol Hedgetrimmer (60cm Blades),5025201651238
BOISIO3SHAPENEDGEG,Bosch Isio 3.6v Li-ion Cordless Shrub & Edging-Shear Set,3165140630764
FLY-FEASICUT460,Flymo EasiCut 460 Electric Hedgetrimmer (45cm Blades),7391736239424
ST-HSE-52,STIHL HSE-52 Electric Hedgetrimmer,0795711842635
ST-HSE-71-24,STIHL HSE-71/24 Electric Hedgetrimmer,0795711401726
ST-HSE-81-28,STIHL HSE-81/28 Electric Hedgetrimmer,0795711401764
ST-HLE-71,STIHL HLE-71 Electric Long-Reach Hedgetrimmer,0795711401771
FLY-FSABCUTXT20V,Flymo SabreCut C-Link 20v Cordless Long-Reach Hedgetrimmer (with Telescopic Shaft),7391883964040
ECH-CS-3510AC,Echo CS-3510AC Petrol Chainsaw (35cm Guide Bar),
ECH-CS-362WES,Echo CS-362WES Petrol Chainsaw (35cm Guide Bar),0000000000000
ECH-CS-3510ES,Echo CS-3510ES Petrol Chainsaw (35cm Guide Bar),6018653527533
ECH-CS-420ES,Echo CS-420ES Petrol Chainsaw (38cm Guide Bar),4260382990078
ECH-CS-4310SX,Echo CS-4310SX Petrol Chainsaw (40cm Guide Bar),4934110708302
ECH-CS-590,Echo CS-590 Petrol Chainsaw (50cm Guide Bar),4934110711364
ECH-CS-7310SX,Echo CS-7310SX Petrol Chainsaw (60cm Guide Bar),0000000000000
ST-MS171,STIHL MS171 Petrol Chainsaw (30cm Guide Bar),0795711910945
ST-MS171-14,STIHL MS171 Petrol Chainsaw (35cm Guide Bar),0000000000000
ST-MS181-14,STIHL MS181 Petrol Chainsaw (30cm Guide Bar),
ST-MS181-16,STIHL MS181 Petrol Chainsaw (35cm Guide Bar),0795711861902
4ST-MS181-CBE-14,STIHL MS181 C-BE Petrol Chainsaw (30cm Guide Bar),
ST-MS181CBE-16,STIHL MS181 C-BE Petrol Chainsaw (35cm Guide Bar),0000000000000
ST-MS211-14,STIHL MS211 Petrol Chainsaw (35cm Guide Bar),0000000000000
ST-MS211-16,STIHL MS211 Petrol Chainsaw (40cm Guide Bar),0000000000000
ST-MS211CBE-16,STIHL MS211 C-BE Petrol Chainsaw (40cm Guide Bar),0000000000000
ST-MS231,STIHL MS231 Petrol Chainsaw (35cm Guide Bar),0000000000000
ST-MS231-16,STIHL MS231 Petrol Chainsaw (40cm Guide Bar),
ST-MS231CBE,STIHL MS231 C-BE Petrol Chainsaw (35cm Guide Bar),
ST-MS231CBE-16,STIHL MS231 C-BE Petrol Chainsaw (40cm Guide Bar),0000000000000
ST-MS251-16,STIHL MS251 Petrol Chainsaw (40cm Guide Bar),0000000000000
ST-MS251-18,STIHL MS251 Petrol Chainsaw (45cm Guide Bar),000
ST-MS251CBE,STIHL MS251 C-BE Petrol Chainsaw (35cm Guide Bar),
ST-MS251CBE-16,STIHL MS251 C-BE Petrol Chainsaw (40cm Guide Bar),
ST-MS291-16,STIHL MS291 Petrol Chainsaw (40cm Guide Bar),0000000000000
ST-MS291-18,STIHL MS291 Petrol Chainsaw (45cm Guide Bar),
ST-MS391,STIHL MS391 Petrol Chainsaw (40cm Guide Bar),0000000000000
AP-946162350,Apache Euro 5 Petrol Front-Tine Cultivator,0000000000000
AP-985000000,Apache RTT3 Two-Wheel Rear-Tine Rotary Cultivator (Briggs & Stratton Engine),8025004012967
HAN-THET-A,Handy THET-A Electric Tiller / Cultivator,5060012803377
MANT-8222,Mantis Crevice-Cleaner Attachment | 8222,
MANT-7321,Mantis Aerator & Dethatcher Attachments - Combo Package | 7321,
MANT-7263-12-14,Mantis 4-Stroke Petrol Mini-Tiller with Honda Engine | 7263-12-14,
MANT-7252-12-40,Mantis Electric Mini-Tiller/Cultivator | 7252-12-40,
MTD-T205,MTD T205 Petrol Front-Tine Tiller,4008423823998
MTD-T245,MTD T245 Petrol Front-Tine Tiller,4008423823981
HYU-HYCH1400,Hyundai 420cc/15hp Petrol Chipper-Shredder | HYCH1400,
MASP-6.5XL,Masport 6.5XL Petrol Chipper-Shredder,
EF-AG40-S50,Efco AG40-S50 Professional Petrol Lawn Scarifier,8026619025212
HAN-THLGT,The Handy THLGT Garden Trolley (Large),5060012809904
GV-F-5200-5LR,5 Litre Steel Jerry Can (F-5200),
GV-F-1200-10LR,10 Litre Red Steel Jerry Can (F-1200),
GV-F-2200-20LK,20 Litre Khaki Steel Jerry Can (F-2200),
HAN-THLS-6,The Handy 6-Ton Horizontal Electric Log-Splitter | THLS 6G,5060012807535
ST-RE130,STIHL RE130-Plus Electric High-Pressure Washer,
ECH-PPT-2620HES,Echo PPT-2620HES Power Pruner,
HAN-THGR,The Handy TH-GR Garden Roller,5060012803230
AP-M210,Apache M210 Sickle-Bar Mower,0000000000000
SOL-462,Solo 462 Hand-Held High-Pressure Garden Sprayer,4015966462003
EF-AR53-TBX,Efco AR53-TBX AllRoad ALU 3-in-1 Self-Propelled Petrol Lawnmower with Aluminium Deck,8026619003715
CC-XM3ER53,Cub Cadet XM3ER53 3-in-1 Variable-Speed Petrol Lawnmower with Blade-Brake Clutch,4008423891966
AGFA-45-0329,Agri-Fab 79kg-Capacity ATV-Towed Broadcast Spreader | 45-0329,
FLY-FEASICUT610XT,Flymo EasiCut 610XT Electric Hedgetrimmer (60cm Blades),
HAN-THSHWCS,Handy Saw Horse (With Chainsaw Support),
MASP-483809,Masport 200 ST Hand-Propelled Petrol Lawnmower,
MASP-457951,Masport Rotarola RRSP 22 Self-Propelled Petrol Rear-Roller Lawnmower,9414974579515
465774,Masport Contractor 625 AL Hand-Propelled Petrol Lawnmower with Low-Vibration Handlebar,
MASP-578967,Masport 350 ST SP Combination 3-in-1 Self-Propelled Petrol Lawnmower,9414974658067
MASP-480955,Masport Widecut 800 ST SP Combination 3-in-1 Self-Propelled Petrol Lawnmower,
SP22111,Spectrum 227kg-Capacity Poly Tipping-Cart / Wheelbarrow |  SP22111,5065022450412
AGFA-45-0462,Agri-Fab 56kg-Capacity Hand-Propelled Broadcast Spreader | 45-0462,
AGFA-45-0463,Agri-Fab 56kg-Capacity Towed Broadcast Spreader | 45-0463,
EIN-GC-SC-4240,Einhell GC-SC 4240-P Petrol Lawn Scarifier,4006825638073
EF-8091,Efco 8091 Curved-Shaft Electric Grass-Trimmer,8026619008499
HAN-THFST,The Handy THFST Heavy-Duty Folding Sack-Truck,5060012803414
HAN-THHTA,The Handy Hollow-Tine Aerator,5060012803704
EF-2000E,Efco MT-2000E Electric Chainsaw (40cm Guide Bar),8026619008383
HAN-THPDC,Handy THPDC Poly Dump-Cart,5060012805272
AGFA-45-0474,Agri-Fab SmartLINK™ 104cm Core Aerator | 45-0474,52613102640
AGFA-45-0457,Agri-Fab SmartLINK™ 104cm Spring-Tine Dethatcher | 45-0457,
SPEC-SP45103,Spectrum 91cm Towed Steel Lawn-Roller | SP45103,
AGFA-45-0458,Agri-Fab 45-0458 SmartLINK™ 104cm Towed Spike-Aerator,
SOL-475-D,Solo 475/D Diaphragm-Pump Backpack Sprayer,4015966475003
AGFA-45-0288,Agri-Fab 79kg-Capacity Tow-Behind Drop Spreader | 45-0288,52613452882
CC-XZ3-122,Cub Cadet XZ3122 Zero-Turn Ride-On Mower,4008423846171
AGFA-45-0303,Agri-Fab 159kg-Capacity Economy Steel Tipping-Trailer | 45-0303,0052613453032
SNAP-NX-40,Snapper NX-40 3-in-1 Self-Propelled Petrol Lawnmower,
SNAP-NX-100,Snapper NX-100 Ninja® Variable-Speed Petrol Mulching Lawnmower with Side-Discharge,0000000000000
