sku_a,title_a,sku_b,title_b,score,method
2T2010483/M25,MOUNTFIELD 1330M REAR-COLLECT LAWN TRACTOR WITH MANUAL DRIVE,2T2010483/M25,Mountfield 1330M Gear Drive 2-in-1 Lawn Tractor,86.56,tfidf+rapidfuzz
2T0052483/CAS,MOUNTFIELD 827M RIDE-ON LAWNMOWER,MF-827M,Mountfield 827M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,80.73,tfidf+rapidfuzz
2T0980473/C22,CASTEL GARDEN PTX 210 HD LAWN TRACTOR,2T0980473/C22,Castel Garden PTX 210 HD Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,89.79,tfidf+rapidfuzz
DC24-4,SPECTRUM DC24-4 RIDE ON MOWER,DC24-4,Spectrum DC24-4 Ultra-Compact Rear-Collect/Side-Discharge Ride-On Mower with Manual Drive,93.27,tfidf+rapidfuzz
SBS40CB,SPECTRUM BY SWIFT SBS40CB 4.0AH BATTERY,SBS40CB,Spectrum SBS40CB 40V 4.0Ah Lithium-Ion Battery Pack,87.76,tfidf+rapidfuzz
TG561-SWT,SPECTRUM TG561-SWT SELF PROPELLED WHEELED TRIMMER,TG561-SWT,Spectrum TG561-SWT Self Propelled Wheeled Trimmer,100.00,tfidf+rapidfuzz
TG56-PRO,SPECTRUM TG56-PRO LAWNMOWER,TG56-PRO,"Spectrum TG56-Pro Variable Speed, Honda Engine, Petrol Lawnmower - 4 Blade",93.98,tfidf+rapidfuzz
TG48-PRO,SPECTRUM TG48-PRO VARIABLE SPEED PETROL LAWNMOWER,TG48-PRO,Spectrum TG48-PRO Honda Powered Petrol Self Propelled Lawnmower - 4 blade,0.00,manual
TG51SE,SPECTRUM TG51SE KEY START LAWNMOWER,TG51SE,Spectrum TG51SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start,88.68,tfidf+rapidfuzz
TG56SE,SPECTRUM TG56SE KEY START LAWNMOWER,TG56SE,Spectrum TG56SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start,88.68,tfidf+rapidfuzz
DCT38M-SDM,SPECTRUM DCT38M-SDM 2-IN-1 SIDE DISCHARGE GARDEN TRACTOR WITH GEAR DRIVE,DCT38M-SDM,"Spectrum DCT38M-SD  38"" Side Discharge and Mulch Lawn Tractor with Manual Drive PRE SEASON SPECIAL PRICE!",79.82,tfidf+rapidfuzz
SW420-EXPERT,SPECTRUM SW420 EXPERT 2 IN 1 PETROL SCARIFIER,SW420-EXPERT,Spectrum SW420-Expert 2-in-1 Petrol Lawn Scarifier/Aerator,97.33,tfidf+rapidfuzz
DM26PBV,SPECTRUM DM26PBV PETROL BLOWER-VAC,DM26PBV,Spectrum DM26PBV Petrol Blower-Vac,100.00,tfidf+rapidfuzz
