"category";"shop_sku";"title";"brand";"gtin";"variant_group_code";"description";"colour_group";"colour_display_name";"colour_hex_code";"main_image";"image_1";"image_2";"image_3";"image_4";"image_5";"image_6";"image_7";"image_8";"image_9";"image_10";"image_11";"image_12";"image_13";"image_14";"image_15";"image_16";"image_17";"image_18";"image_19";"image_20";"feature_1";"feature_2";"feature_3";"feature_4";"feature_5";"feature_6";"feature_7";"feature_8";"feature_9";"feature_10";"main_product_image";"main_product_name";"disclaimer_options";"made_to_order";"width_4";"width_4_uom";"height_7";"height_7_uom";"depth_23";"depth_23_uom";"weight_61";"weight_61_uom";"wattage_67";"wattage_67_uom";"cable_length_103";"cable_length_103_uom";"mains_operated_219";"includes_1364";"shipping_weight_10054";"shipping_weight_10054_uom";"economic_operator_name_10394";"economic_operator_address_10399";"economic_operator_email_10404";"manufacturer_name_10409";"manufacturer_address_10414";"manufacturer_email_10419";"product_model_number_10424";"product_safety_warnings_or_safety_guidance_10429"
"Garden/Garden Machinery & Power Tools/Grass & Hedge Trimmers";"C-DM26L";"Spectrum DM26L Petrol Brushcutter and Strimmer";"Spectrum";"5065022450030";"C-DM26L";"Enjoy superior cutting performance and get comfortable, low-effort handling at a remarkably low price with this high-quality but affordable petrol brushcutter from Spectrum! The Spectrum DM26L comes with two cutter heads - there's a twin-line spool designed for tidying lawn edges, fence lines and tree bases; and a three-tooth metal blade, which will scythe through nettles, bramble and other more challenging vegetation with consummate ease. Driving your chosen head is a medium-displacement, 25.4cc two-stroke air-cooled motor that outputs a hefty 1.1hp, and which has been equipped with a translucent fuel tank for at-a-glance monitoring of the fill level. The tank holds a substantial 0.65 litres, so you'll be able to spend more time working and less time topping-up (click here for two-stroke oil). Excelling when it comes to ease of use, the Spectrum DM26L weighs just 5.1kg, and boasts and ergonomic 'loop-and-bar' handle configuration. The line head on the Spectrum DM26L Petrol Brushcutter incorporates a handy bump-feed mechanism, which means you won't have to waste time attending directly to the spool when you need to refresh worn-out cord. All Spectrum DM products are designed to be easy to start, lightweight and easy to use We always recommend the use of eye protection such as goggles when using these types of machine. Its a good idea to get some spare trimmer line, 2 stroke oil and fuel can when ordering. It should be noted that Spectrum handheld garden machines and ride-on mowers are covered by an extended five-year manufacturer's warranty for parts*. * Ts & Cs apply - to maintain a valid warranty, the machine must be serviced annually from year two onwards";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/dm26l.jpg?v=1734710477";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A classic petrol brushcutter designed to a standard not normally found in this price bracket";"Powerful but clean running and fuel-efficient two-stroke engine";"Solid-steel driveshaft for optimum torque transfer";"Loop-and-bar handle for superior comfort and control";"Substantial cutting swathe for a speedy work rate";"Convenient bump-feed line advance";"Extended five-year manufacturer's warranty";"";"";"";"Yes";"Spectrum DM26L Petrol Brushcutter and Strimmer";"";"No";"";"";"";"";"";"";"5.10";"Kilograms";"0.8";"Kilowatts";"";"";"No";"Twin-line bump-feed spool head, 3-tooth metal brushcutter blade";"";"";"";"";"";"";"";"";"DM26L";""
"Garden/Garden Machinery & Power Tools/Grass & Hedge Trimmers";"S154545";"Spectrum DM26C Curved-Shaft Petrol Grass and weed Strimmer";"Spectrum";"5065022450023";"S154545";"Put the final touches to your lawn, garden and other outdoor areas the fast, low-effort way with the powerful but easy handling Spectrum DM26C Petrol Grass-Trimmer! Supplying that power is a high-performance, 25.4cc air-cooled two-stroke engine that develops an impressive 1hp, and which features a capacious 0.65-litre tank for extended runtimes between refuelling stops. The curved-shaft design of the Spectrum DM26C gives you the best possible angle of attack for mowing and strimming, and works with an ergonomic 'loop-and-bar' handle configuration and a remarkably low machine weight of 5kg to minimise operator fatigue. The class-leading Spectrum DM26C Curved-Shaft Petrol Grass-Trimmer is supplied with a twin-line cutter head, which has a generous 34cm cutting path for superior productivity. A bump-feed system does away with the need to attend directly to the head when the cord needs to be advanced. The Spectrum DM26C requires two-stroke engine oil - you'll find some here. All Spectrum DM products are designed to be easy to start, lightweight and easy to use. When buying we also suggest getting some spare strimmer line, 2 stroke oil and a fuel can. When using these sorts of products you should wear eye protection like goggles It should be noted that Spectrum handheld garden machines and ride-on mowers are covered by an extended five-year manufacturer's warranty for parts*. * Ts & Cs apply - to maintain a valid warranty, the machine must be serviced annually from the second year onwards";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/dm26c.jpg?v=1734710472";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A classic petrol grass-trimmer designed to a standard not normally found in this price bracket";"Powerful but clean running and fuel-efficient two-stroke engine";"Curved shaft means the cutter head is at the perfect angle relative to the ground";"Loop-and-bar handle for superior comfort and control";"Substantial cutting swathe for a speedy work rate";"Convenient bump-feed line advance";"Extended five-year manufacturer's warranty";"";"";"";"Yes";"Spectrum DM26C Curved-Shaft Petrol Grass and weed Strimmer";"";"No";"";"";"";"";"";"";"5.00";"Kilograms";"0.75";"Kilowatts";"";"";"No";"Twin-line bump-feed spool head";"";"";"";"";"";"";"";"";"DM26C";""
"Garden/Garden Machinery & Power Tools/Grass & Hedge Trimmers";"SBS240CPHT-KIT";"Spectrum SBS240CPHT 40V Cordless Pole Hedge Trimmer - Complete Kit (4.0Ah Battery + Fast Charger)";"Spectrum";"5061122340172";"SBS240CPHT-KIT";"The Spectrum SBS240CPHT 40V Cordless Pole Hedge Trimmer - Complete Kit Everything you need in one box: the tool, the right battery (or batteries), and a matching charger - ready to work the moment it arrives. What's in this kit 1x Spectrum SBS240CPHT - 2.4m reach pole hedge trimmer, 46cm laser-cut blade, 180 adjustable head 1x Spectrum SBS40CB - 40V 4.0Ah Lithium-Ion battery (extended runtime for tall hedges) 1x Spectrum SBSCBC - 40V Standard Battery Charger (0.5A) Spectrum SBS240CPHT - Reach Further, Cut Cleaner Tall hedges and high-sided borders are no match for the Spectrum SBS240CPHT Cordless Pole Hedge Trimmer. With a total reach of 2.4 metres and a 180 adjustable cutting head, it handles the angles that ladders and standard trimmers can't - safely, from the ground. The 46cm dual-action, laser-cut blade runs at 2,600 strokes per minute, slicing through branches up to 18mm thick with clean, precise cuts that promote healthy regrowth. Whether you're trimming horizontally along the top of a hedge or working vertically down the face, the rotating head gives you the position you need without awkward repositioning. Power comes from Spectrum's 40V lithium-ion battery system. The reliable brush motor maintains consistent cutting speed throughout the charge, and at just 3.62kg the tool stays well-balanced and fatigue-free even on longer hedgerows. Backed by Spectrum's 5-year manufacturer's warranty, the SBS240CPHT is built to earn its place in your tool shed for years to come. One battery. Every tool in the Spectrum 40V range. Your Spectrum 40V battery is the start of a system, not an end. The same battery that powers this tool will drive the entire Spectrum 40V cordless range - lawnmowers, hedge trimmers, pole hedge trimmers, leaf blowers, and handy mowers. Buy into the platform once, then add tools over time without ever paying for a new battery or charger. Spare 2.0Ah and 4.0Ah packs are interchangeable across every 40V tool in the range. 5-year manufacturer's warranty Every Spectrum cordless tool is backed by a 5-year domestic warranty - full parts and labour cover in years 1-2, parts-only cover in years 3-5, subject to annual servicing and proof of purchase. Delivery is 2-5 working days as standard, with premium next-day delivery available at checkout.";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-SBS240CPHT-Pole-Hedge-Trimmer-Main_8d207719-c55d-4bb4-8d58-895e89eb4db6.jpg?v=1781862304";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-SBS240CPHT-Pole-Hedge-Trimmer-Main_0a9b0d9b-c1cb-4ee8-bec3-ce38e47614a0.jpg?v=1781862308";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-SBS240CPHT-Pole-Hedge-Trimmer-Main_a610cd28-8ff5-4331-9e07-eaa4de679b5f.jpg?v=1781862315";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-SBS240CPHT-Pole-Hedge-Trimmer-Main_e25db854-7754-43ad-ab19-b1cacc755150.jpg?v=1781862321";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.4m total reach — trim tall hedges safely from the ground";"180 degree adjustable cutting head for horizontal and vertical trimming";"46cm dual-action laser-cut blade for clean, precise cuts";"2,600 strokes/min — fast, efficient trimming in fewer passes";"Cuts branches up to 18mm thick";"Lightweight at 3.62kg — well-balanced for extended use";"Compatible with all Spectrum 40V batteries and chargers";"5-year Spectrum manufacturer's warranty (T&Cs apply)";"";"";"Yes";"Spectrum SBS240CPHT 40V Cordless Pole Hedge Trimmer - Complete Kit (4.0Ah Battery + Fast Charger)";"";"No";"";"";"";"";"";"";"";"";"";"";"";"";"No";"SBS240CPHT pole hedge trimmer, 4.0Ah 40V battery, fast charger";"";"";"";"";"";"";"";"";"SBS240CPHT";""
"Garden/Garden Machinery & Power Tools/Grass & Hedge Trimmers";"SBS560CHT-KIT";"Spectrum SBS560CHT 40V Cordless Hedge Trimmer - Complete Kit (2.0Ah Battery + Charger)";"Spectrum";"5061122340165";"SBS560CHT-KIT";"The Spectrum SBS560CHT 40V Cordless Hedge Trimmer - Complete Kit Everything you need in one box: the tool, the right battery (or batteries), and a matching charger - ready to work the moment it arrives. What's in this kit 1x Spectrum SBS560CHT - 45cm cordless hedge trimmer (brushless, 18mm cutting capacity) 1x Spectrum SBS20CB - 40V 2.0Ah Lithium-Ion battery 1x Spectrum SBSCBC - 40V standard charger Spectrum SBS560CHT - Sharp Results, Less Effort Neat hedges don't have to mean hard work. The Spectrum SBS560CHT Cordless Hedge Trimmer combines a powerful brushless motor with a precision laser-cut blade to deliver clean, professional-looking results with minimal fatigue. The brushless motor is a meaningful upgrade over brush-motor alternatives - it runs more efficiently, generates less heat, lasts longer between services, and extracts more runtime from each battery charge. At 2,600 cuts per minute, the 45cm cutting blade moves through foliage quickly, keeping trimming sessions short and results consistent. With an 18mm cutting capacity, the SBS560CHT handles the thicker, woodier growth found in established hedges without stalling or snagging. The 90 rotating handle is a genuine practical feature - it lets you switch between horizontal top cuts and vertical face cuts without adjusting your stance or grip, reducing strain on wrists and shoulders during longer sessions. At just 2.91kg, it's light enough to hold overhead comfortably for as long as the job demands, and the 40V Spectrum battery platform means it shares power with your other Spectrum cordless tools. One battery. Every tool in the Spectrum 40V range. Your Spectrum 40V battery is the start of a system, not an end. The same battery that powers this tool will drive the entire Spectrum 40V cordless range - lawnmowers, hedge trimmers, pole hedge trimmers, leaf blowers, and handy mowers. Buy into the platform once, then add tools over time without ever paying for a new battery or charger. Spare 2.0Ah and 4.0Ah packs are interchangeable across every 40V tool in the range. 5-year manufacturer's warranty Every Spectrum cordless tool is backed by a 5-year domestic warranty - full parts and labour cover in years 1-2, parts-only cover in years 3-5, subject to annual servicing and proof of purchase. Delivery is 2-5 working days as standard, with premium next-day delivery available at checkout.";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-SBS560CHT-Cordless-Hedge-Trimmer-Main_a5c36637-6ced-43ff-9370-57c00e5ea470.jpg?v=1781862375";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-SBS560CHT-Cordless-Hedge-Trimmer-Left_4063a005-5bdf-4e0c-b5d5-09fe4facd7f9.jpg?v=1781862378";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Brushless motor — more efficient, longer-lasting, lower maintenance than brush motors";"2,600 cuts/min for fast, smooth trimming in fewer passes";"45cm laser-cut blade with 18mm cutting capacity for established hedges";"90 degree rotating handle — switch between top cuts and face cuts without changing stance";"Lightweight at 2.91kg — comfortable to hold overhead for extended use";"Compatible with all Spectrum 40V batteries and chargers";"5-year Spectrum manufacturer's warranty (T&Cs apply)";"";"";"";"Yes";"Spectrum SBS560CHT 40V Cordless Hedge Trimmer - Complete Kit (2.0Ah Battery + Charger)";"";"No";"";"";"";"";"";"";"";"";"";"";"";"";"No";"SBS560CHT hedge trimmer, 2.0Ah 40V battery, charger";"";"";"";"";"";"";"";"";"SBS560CHT";""
"Garden/Garden Machinery & Power Tools/Grass & Hedge Trimmers";"SBS240CPHT";"Spectrum SBS240CPHT 40V Cordless Pole Hedge Trimmer, 46cm Blade - Bare Tool (Battery & Charger Sold Separately)";"Spectrum";"5065022450665";"SBS240CPHT";"Spectrum SBS240CPHT - Reach Further, Cut Cleaner Tall hedges and high-sided borders are no match for the Spectrum SBS240CPHT Cordless Pole Hedge Trimmer. With a total reach of 2.4 metres and a 180 adjustable cutting head, it handles the angles that ladders and standard trimmers can't - safely, from the ground. The 46cm dual-action, laser-cut blade runs at 2,600 strokes per minute, slicing through branches up to 18mm thick with clean, precise cuts that promote healthy regrowth. Whether you're trimming horizontally along the top of a hedge or working vertically down the face, the rotating head gives you the position you need without awkward repositioning. Power comes from Spectrum's 40V lithium-ion battery system. The reliable brush motor maintains consistent cutting speed throughout the charge, and at just 3.62kg the tool stays well-balanced and fatigue-free even on longer hedgerows. Backed by Spectrum's 5-year manufacturer's warranty, the SBS240CPHT is built to earn its place in your tool shed for years to come. Tool-only model. Compatible with Spectrum 2.0Ah and 4.0Ah batteries and all Spectrum 40V chargers, available separately.";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-SBS240CPHT-Pole-Hedge-Trimmer-Main.jpg?v=1781862403";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.4m total reach — trim tall hedges safely from the ground";"180 degree adjustable cutting head for horizontal and vertical trimming";"46cm dual-action laser-cut blade for clean, precise cuts";"2,600 strokes/min — fast, efficient trimming in fewer passes";"Cuts branches up to 18mm thick";"Lightweight at 3.62kg — well-balanced for extended use";"Compatible with all Spectrum 40V batteries and chargers";"5-year Spectrum manufacturer's warranty (T&Cs apply)";"";"";"Yes";"Spectrum SBS240CPHT 40V Cordless Pole Hedge Trimmer, 46cm Blade - Bare Tool (Battery & Charger Sold Separately)";"";"No";"";"";"";"";"";"";"";"";"";"";"";"";"No";"SBS240CPHT pole hedge trimmer (bare tool — battery and charger sold separately)";"";"";"";"";"";"";"";"";"SBS240CPHT";""
"Garden/Garden Machinery & Power Tools/Grass & Hedge Trimmers";"SBS560CHT";"Spectrum SBS560CHT 40V Cordless Hedge Trimmer, 45cm Blade - Bare Tool (Battery & Charger Sold Separately)";"Spectrum";"5065022450658";"SBS560CHT";"Spectrum SBS560CHT - Sharp Results, Less Effort Neat hedges don't have to mean hard work. The Spectrum SBS560CHT Cordless Hedge Trimmer combines a powerful brushless motor with a precision laser-cut blade to deliver clean, professional-looking results with minimal fatigue. The brushless motor is a meaningful upgrade over brush-motor alternatives - it runs more efficiently, generates less heat, lasts longer between services, and extracts more runtime from each battery charge. At 2,600 cuts per minute, the 45cm cutting blade moves through foliage quickly, keeping trimming sessions short and results consistent. With an 18mm cutting capacity, the SBS560CHT handles the thicker, woodier growth found in established hedges without stalling or snagging. The 90 rotating handle is a genuine practical feature - it lets you switch between horizontal top cuts and vertical face cuts without adjusting your stance or grip, reducing strain on wrists and shoulders during longer sessions. At just 2.91kg, it's light enough to hold overhead comfortably for as long as the job demands, and the 40V Spectrum battery platform means it shares power with your other Spectrum cordless tools. Tool-only model. Compatible with Spectrum 2.0Ah and 4.0Ah batteries and all Spectrum 40V chargers, available separately.";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-SBS560CHT-Cordless-Hedge-Trimmer-Main.jpg?v=1781862431";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-SBS560CHT-Cordless-Hedge-Trimmer-Left.jpg?v=1781862435";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Brushless motor — more efficient, longer-lasting, lower maintenance than brush motors";"2,600 cuts/min for fast, smooth trimming in fewer passes";"45cm laser-cut blade with 18mm cutting capacity for established hedges";"90 degree rotating handle — switch between top cuts and face cuts without changing stance";"Lightweight at 2.91kg — comfortable to hold overhead for extended use";"Compatible with all Spectrum 40V batteries and chargers";"5-year Spectrum manufacturer's warranty (T&Cs apply)";"";"";"";"Yes";"Spectrum SBS560CHT 40V Cordless Hedge Trimmer, 45cm Blade - Bare Tool (Battery & Charger Sold Separately)";"";"No";"";"";"";"";"";"";"";"";"";"";"";"";"No";"SBS560CHT hedge trimmer (bare tool — battery and charger sold separately)";"";"";"";"";"";"";"";"";"SBS560CHT";""
"Garden/Garden Machinery & Power Tools/Grass & Hedge Trimmers";"C-CL20-R-DUO";"Spectrum CL20-R-DUO 2mm Round Strimmer Line";"Spectrum";"5065022450238";"C-CL20-R-DUO";"Spectrum CL20-R-DUO Strimmer Line - Strength, Precision & Durability Enhance your trimming performance with the Spectrum CL20-R-DUO 2mm strimmer line, designed for exceptional cutting power. Whether you're tackling overgrown grass or tough weeds, this premium trimmer line is built for efficiency and durability. Engineered for Maximum Performance Rugged Outer Layer - Highly resistant to abrasion, ensuring long-lasting wear and tear protection. Reinforced Core - Flexible yet ultra-durable, minimizing breakage and delivering consistent, reliable results. With its dual-material construction, the CL20-R-DUO strikes the perfect balance between strength and flexibility, making it a top choice for both professionals and homeowners who need a dependable strimmer line. Long-Lasting Supply Supplied in a 1lb reel, this strimmer line provides plenty of refills, keeping you working longer without frequent replacements. Product Code: CL20-R-DUO";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-2-0mm-Duo-Line.jpg?v=1781862474";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-2-0mm-Duo-Line-Side.jpg?v=1781862478";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-DUO-Line-Rear.jpg?v=1781862481";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-Duo-Close-Up.jpg?v=1781862484";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Line diameter: 2mm";"Supplied in a 1lb spool";"Duo-line design for efficient cutting";"Compatible with brushcutters ranging from 20cc to 23cc";"";"";"";"";"";"";"Yes";"Spectrum CL20-R-DUO 2mm Round Strimmer Line";"";"No";"2";"Millimetres";"";"";"";"";"0.45";"Kilograms";"";"";"";"";"No";"";"";"";"";"";"";"";"";"";"";""
"Garden/Garden Machinery & Power Tools/Grass & Hedge Trimmers";"C-CL24-R-DUO";"Spectrum CL24-R-DUO 2.4mm Round Strimmer Line";"Spectrum";"5065022450245";"C-CL24-R-DUO";"Spectrum CL24-R-DUO Strimmer Line - Strength, Precision & Durability Take your trimming performance to the next level with the Spectrum CL24-R-DUO 2mm strimmer line, designed for efficient, high-precision cutting. Whether you're clearing dense grass or tough weeds, this premium line ensures superior durability and performance. Built for Reliability Rugged Outer Layer - Highly resistant to abrasion, extending the lifespan of the line. Reinforced Core - Flexible yet extremely tough, reducing breakage for consistent, hassle-free use. The dual-material construction delivers the perfect balance of strength and flexibility, making it a trusted choice for both professionals and homeowners. Long-Lasting Supply With a generous 86m length, you'll have ample refills to keep your strimmer working efficiently for longer. Product Code: CL24-R-DUO";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-2-4mm-Duo-Line.jpg?v=1781862490";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-2-4mm-Strimmer-Side.jpg?v=1781862493";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-DUO-Line-Rear_b6e844b7-893e-4a37-8eee-8459f44bde02.jpg?v=1781862496";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-Duo-Close-Up_9f8f8092-e72a-4bae-b8a1-c7bacecab8c5.jpg?v=1781862500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Line thickness: 2.4mm";"Available in an 86m spool (1lb)";"Duo-line construction for enhanced cutting performance";"Ideal for brushcutters with engine capacities between 23cc and 30cc";"";"";"";"";"";"";"Yes";"Spectrum CL24-R-DUO 2.4mm Round Strimmer Line";"";"No";"2.4";"Millimetres";"";"";"";"";"0.45";"Kilograms";"";"";"86";"Metres";"No";"";"";"";"";"";"";"";"";"";"";""
"Garden/Garden Machinery & Power Tools/Grass & Hedge Trimmers";"C-CL27-R-DUO";"Spectrum CL27-R-DUO 2.7mm Round Strimmer Line";"Spectrum";"5065022450252";"C-CL27-R-DUO";"Spectrum CL27-R-DUO Strimmer Line - Strength, Precision & Long-Lasting Performance Upgrade your trimming power with the Spectrum CL27-R-DUO 2.7mm strimmer line, built for high-performance cutting. Whether tackling dense grass or stubborn weeds, this premium line ensures maximum efficiency and durability. Engineered for Tough Conditions Abrasion-Resistant Outer Layer - Designed for exceptional durability, standing up to demanding trimming tasks. Ultra-Durable Core - Flexible yet highly resistant to breakage, providing consistent, long-lasting performance. With its dual-material construction, the CL27-R-DUO delivers the ideal blend of strength and flexibility, making it a trusted choice for professionals and home users alike. Generous Supply for Extended Use The 68m reel ensures plenty of refills, keeping your trimmer running longer with fewer replacements. Product Code: CL27-R-DUO";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-2-4mm-Duo-Line_b58d4279-06a7-413e-9202-a21aff3e2492.jpg?v=1781862506";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-2-4mm-Strimmer-Side_29524c2c-cfa9-4438-9aa5-021967be0a95.jpg?v=1781862510";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-DUO-Line-Rear_58e6b42b-4ffd-4b0c-ba29-6c0d70c0c546.jpg?v=1781862514";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-Duo-Close-Up_a85e94f2-4ec2-42ca-9d83-d6c193fa9582.jpg?v=1781862517";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Line diameter: 2.7mm";"Supplied in a 68m spool (1lb)";"Duo-line design for improved cutting efficiency";"Compatible with brushcutters ranging from 30cc to 35cc";"";"";"";"";"";"";"Yes";"Spectrum CL27-R-DUO 2.7mm Round Strimmer Line";"";"No";"2.7";"Millimetres";"";"";"";"";"0.45";"Kilograms";"";"";"68";"Metres";"No";"";"";"";"";"";"";"";"";"";"";""
"Garden/Garden Machinery & Power Tools/Grass & Hedge Trimmers";"C-CL30-R-DUO";"CL40R";"Spectrum";"5065022450269";"C-CL30-R-DUO";"Spectrum CL30-R-DUO Strimmer Line - Durable, Powerful & Built for Tough Jobs Boost your trimming performance with the Spectrum CL30-R-DUO 3mm strimmer line, engineered for high-efficiency cutting. Whether you're tackling thick grass or dense weeds, this heavy-duty trimmer line delivers exceptional strength and longevity. Built for Maximum Durability Abrasion-Resistant Outer Layer - Designed to withstand heavy wear and tear, ensuring a longer lifespan. Reinforced Core - Flexible yet ultra-strong, providing superior resistance to snapping or breakage. With its dual-material construction, the CL30-R-DUO offers the perfect combination of durability and flexibility, making it an ideal choice for both professionals and homeowners who need reliable trimming power. Long-Lasting Supply The 55m reel provides ample refills, keeping your strimmer ready for extended use with fewer replacements. Product Code: CL30-R-DUO";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-CL27-R-DUO-Line.jpg?v=1781862524";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-CL27-R-Duo-Side.jpg?v=1781862527";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-DUO-Line-Rear_e7605bf3-8432-4914-9355-c87ee6cc2b54.jpg?v=1781862530";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-Duo-Close-Up_c835dc17-e4a5-4d27-bcab-44cdc86c09ff.jpg?v=1781862534";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Line thickness: 3.0mm";"Provided in a 55m spool (1lb)";"Duo-line construction for enhanced cutting performance";"Designed for brushcutters with engine sizes from 30cc to 40cc";"";"";"";"";"";"";"Yes";"CL40R";"";"No";"3.0";"Millimetres";"";"";"";"";"0.45";"Kilograms";"";"";"55";"Metres";"No";"";"";"";"";"";"";"";"";"";"";""
