item_id,title,brand,gtin,mpn,condition,item_end_date,shopify_sku,shopify_handle,shopify_vendor,shopify_title,shopify_match,known_8apr,category_path,error
168262107999,"Spectrum DCT38M-RDM  38"" Lawn Tractor with Manual Drive ",Spectrum,5065022450603,,New,2026-03-26T15:50:06.000Z,DCT38M-RDM,spectrum-dct38m-rdm-38-lawn-tractor-with-manual-drive-pre-season-special-price-copy,Spectrum,"Spectrum DCT38M-RDM  38"" Lawn Tractor with Manual Drive PRE SEASON SPECIAL PRICE!",barcode,"Spectrum DCT38M-RDM 38"" Lawn Tractor with Manual Drive","Garden & Patio|Lawn Mowers, Parts & Accessories|Lawn Mowers",
168256892996,"Spectrum DCT38M-RDM  38"" Lawn Tractor with Manual Drive ",Spectrum,5065022450603,,New,2026-03-23T19:37:31.000Z,DCT38M-RDM,spectrum-dct38m-rdm-38-lawn-tractor-with-manual-drive-pre-season-special-price-copy,Spectrum,"Spectrum DCT38M-RDM  38"" Lawn Tractor with Manual Drive PRE SEASON SPECIAL PRICE!",barcode,,"Garden & Patio|Lawn Mowers, Parts & Accessories|Lawn Mowers",
168256892945,Spectrum TG46S 3-in-1 Self-Propelled Petrol Lawnmower,,5065022450122,,New,2026-03-26T15:50:05.000Z,TG46S,spectrum-tg46s-139cc-46cm-self-propelled-petrol-lawnmower,Spectrum,Spectrum TG46S 3-in-1 Self-Propelled Petrol Lawnmower,barcode,Spectrum TG46S 3-in-1 Self-Propelled Petrol Lawnmower,"Garden & Patio|Lawn Mowers, Parts & Accessories|Lawn Mowers",
168256892901,Harry T84H Rear-Collect Lawn Tractor with Hydrostatic Drive,,5391549590004,,New,2026-03-24T17:37:46.000Z,T84H,harry-t84h-rear-collect-lawn-tractor-with-hydrostatic-drive,Harry,Harry T84H Rear-Collect Lawn Tractor with Hydrostatic Drive,barcode,,"Garden & Patio|Lawn Mowers, Parts & Accessories|Lawn Mowers",
168256892804,Spectrum TG46SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start,,5065022450122,,New,2026-03-26T15:50:05.000Z,TG46S,spectrum-tg46s-139cc-46cm-self-propelled-petrol-lawnmower,Spectrum,Spectrum TG46S 3-in-1 Self-Propelled Petrol Lawnmower,barcode,Spectrum TG46SE 3-in-1 SP Petrol Lawnmower (Electric Start),"Garden & Patio|Lawn Mowers, Parts & Accessories|Lawn Mowers",
168256766026,Alpina AT3 98AST Side Discharge Lawn Tractor,,8008984851313,,New,2026-03-26T15:50:04.000Z,C-2T0053404/A22,alpina-at2-66-qa-compact-rear-collect-side-discharge-ride-on-mower-with-manual-drive,Other,Alpina AT2 66 QA Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,barcode,Alpina AT3 98AST Side Discharge Lawn Tractor,"Garden & Patio|Lawn Mowers, Parts & Accessories|Lawn Mowers",
168249700554,"Spectrum DCT38H 38"" Lawn Tractor with Hydrostatic Drive",Spectrum,5065022450528,,New,2026-03-23T12:44:07.000Z,DCT38H,spectrum-dct38h-38-lawn-tractor-with-hydrostatic-drive,Spectrum,"Spectrum DCT38H 38"" Lawn Tractor with Hydrostatic Drive PRE SEASON SPECIAL PRICE!",barcode,,"Garden & Patio|Lawn Mowers, Parts & Accessories|Lawn Mowers",
168249700516,Spectrum DC24-4 Ultra-Compact Rear-Collect/Side-Discharge Manual Ride-On Mower,,5065022450429,,New,2026-03-26T15:50:03.000Z,DC24-4,spectrum-dc24-4-224cc-61cm-ultra-compact-rear-collect-side-discharge-ride-on-mower-with-manual-drive,Spectrum,Spectrum DC24-4 Ultra-Compact Rear-Collect/Side-Discharge Ride-On Mower with Manual Drive,barcode,Spectrum DC24-4 Ultra-Compact Manual Ride-On Mower,"Garden & Patio|Lawn Mowers, Parts & Accessories|Lawn Mowers",
168249700475,Mountfield MTF66MQ Compact Rear-Collect & Side-Discharge Ride-On Mower with Manu,Mountfield,8008984869905,MTF66MQ,New,2026-03-26T15:50:03.000Z,MF-827M,mountfield-827m-compact-rear-collect-side-discharge-ride-on-mower-with-manual-drive,Mountfield,Mountfield 827M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,barcode,Mountfield MTF66MQ Compact Rear-Collect Ride-On Mower,"Garden & Patio|Lawn Mowers, Parts & Accessories|Lawn Mowers",
168241547069,Spectrum TG46S 3-in-1 Self-Propelled Petrol Lawnmower,,5065022450122,,New,2026-03-22T12:01:09.000Z,TG46S,spectrum-tg46s-139cc-46cm-self-propelled-petrol-lawnmower,Spectrum,Spectrum TG46S 3-in-1 Self-Propelled Petrol Lawnmower,barcode,,"Garden & Patio|Lawn Mowers, Parts & Accessories|Lawn Mowers",
