order_id,created,order_state,line_state,category_code,shop_sku,product_title,quantity,unit_price,line_revenue,commission,effective_rate
1060312997-A,2026-02-17T16:10:34Z,RECEIVED,RECEIVED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,229.95,229.95,22.08,9.60
1060335587-A,2026-02-18T12:55:18Z,RECEIVED,RECEIVED,PIM_13209,C-TG40PD,Spectrum TG40PD Self-Propelled Petrol Lawnmower,1,149.99,149.99,14.4,9.60
1060384836-A,2026-02-20T09:51:41Z,RECEIVED,RECEIVED,PIM_12683,S154545,Spectrum DM26C Curved-Shaft Petrol Grass-Trimmer,1,89.0,89.0,8.54,9.60
1060447082-A,2026-02-22T12:42:39Z,RECEIVED,RECEIVED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M-827 Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.0,1399.0,134.3,9.60
1060453924-A,2026-02-22T15:20:17Z,RECEIVED,RECEIVED,PIM_13211,C-DC24-4,Spectrum DC24-4 Ultra-Compact Rear-Collect Side-Discharge or Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1060473573-A,2026-02-23T10:15:15Z,RECEIVED,RECEIVED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M-827 Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.0,1399.0,134.3,9.60
1060488707-A,2026-02-23T16:31:40Z,RECEIVED,RECEIVED,PIM_13209,C-TG40PD,Spectrum TG40PD Self-Propelled Petrol Lawnmower,1,149.99,149.99,14.4,9.60
1060519807-A,2026-02-24T16:36:28Z,RECEIVED,RECEIVED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,229.95,229.95,22.08,9.60
1060548126-A,2026-02-25T15:27:27Z,RECEIVED,RECEIVED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M-827 Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.0,1399.0,134.3,9.60
1060614884-A,2026-02-27T17:42:31Z,RECEIVED,RECEIVED,PIM_13211,C-T84H,Harry T84H Rear-Collect Lawn Tractor with Hydrostatic Drive,1,2095.0,2095.0,201.12,9.60
1060619626-A,2026-02-27T20:24:53Z,RECEIVED,RECEIVED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M-827 Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.0,1399.0,134.3,9.60
1060630411-A,2026-02-28T10:48:57Z,RECEIVED,RECEIVED,PIM_13209,C-TG46S,Spectrum TG46S 3-in-1 Self-Propelled Petrol Lawnmower,1,229.95,229.95,22.08,9.60
1060649573-A,2026-02-28T18:23:31Z,RECEIVED,RECEIVED,PIM_13211,2T2010483/M25,Mountfield T30M Gear Drive two-in-one Lawn Tractor,1,1899.0,1899.0,182.3,9.60
1060665572-A,2026-03-01T12:04:16Z,RECEIVED,RECEIVED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,229.95,229.95,22.08,9.60
1060670890-A,2026-03-01T14:00:51Z,RECEIVED,RECEIVED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M-827 Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.0,1399.0,134.3,9.60
1060678854-A,2026-03-01T17:07:54Z,RECEIVED,RECEIVED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M-827 Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.0,1399.0,134.3,9.60
1060690663-A,2026-03-02T06:45:13Z,RECEIVED,RECEIVED,PIM_13211,C-DC24-4,Spectrum DC24-4 Ultra-Compact Rear-Collect Side-Discharge or Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1060709681-A,2026-03-02T15:49:56Z,RECEIVED,RECEIVED,PIM_12703,FRTF220-1,Feider RTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,575.0,575.0,55.2,9.60
1060712236-A,2026-03-02T16:51:15Z,RECEIVED,RECEIVED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,229.95,229.95,22.08,9.60
