numasuite_sku,current_shopify_sku,proposed_sku,match_method,confidence,numasuite_title,shopify_title,numasuite_ean,shopify_barcode,needs_review,review_reason
17338046,17338046,17338046,sku-verbatim,100.0,BLADE 502MM X 57MM     [FITS 5175SPM],"Lawnmower Blade - 50.2cm | Fits Feider & Racing 20"" Models",,3664142164166,no-op,already aligned
2L0486038/M19,2L0486038/M19,2L0486038/M19,sku-verbatim,100.0,MOUNTFIELD SP46 ELITE SELF-PROPELLED LAWNMOWER (HONDA ENGINE),Mountfield SP46 Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),,8008984816169,no-op,already aligned
2L0536048/M21,2L0536048/M21,2L0536048/M21,sku-verbatim,100.0,MOUNTFIELD SP53 3-in-1 SELF-PROPELLED PETROL LAWNMOWER,Mountfield SP53 Self-Propelled 3-in-1 Petrol Lawnmower,,,no-op,already aligned
2T0785483/M22,2T0785483/M22,2T0785483/M22,sku-verbatim,100.0,MOUNTFIELD MTF 92H HYDROSTATIC DRIVE,Mountfield MTF 92 H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,,8008984853003,no-op,already aligned
2T1950381/ST1,2T1950381/ST1,2T1950381/ST1,sku-verbatim,100.0,STIGA TORNADO 9121 W SIDE DISCHARGE TRACTOR,Stiga Tornado 9121 W Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive,,,no-op,already aligned
2T2010483/M25,2T2010483/M25,2T2010483/M25,sku-verbatim,100.0,MOUNTFIELD 1330M REAR-COLLECT LAWN TRACTOR WITH MANUAL DRIVE,Mountfield T30M Gear Drive 2-in-1 Lawn Tractor,,8008984869042,no-op,already aligned
AP-S390H,AP-S390H,AP-S390H,sku-verbatim,100.0,APACHE S390H PETROL SCARIFIER (HONDA ENGINE),Apache S390H Petrol Scarifier with Collector (Honda Engine),,5055485036759,no-op,already aligned
BCH002,BCH002,BCH002,sku-verbatim,100.0,PROTECTIVE COVER (MEDIUM),Protective Cover for Ride-on Mowers - Medium - JR BCH002,,,no-op,already aligned
BOU012,BOU012,BOU012,sku-verbatim,100.0,"JR BOU012 Compatible with Champion RDJ8J, NGK BMR6F, Torch N6RC, Bosch HS6E, Denso T20MU",Spark Plug - JR BOU012 ( Equivalent to NGK BPR5ES OR CHAMPION RN11YC),,3760011423515,no-op,already aligned
CS-501SX/45,CS-501SX/45,CS-501SX/45,sku-verbatim,100.0,"ECHO CS-501SX CHAINSAW 18""""",Echo CS-501SX Petrol Chainsaw (45cm Guide Bar),,4260382996605,no-op,already aligned
