suspected_match_miss,stiga_supplier_code,stiga_supplier_desc,brand,shopify_sku,shopify_title,vendor,current_price,current_compare_at_price,product_handle
yes,2T0210483/M22,1328H,Mountfield,MF-2T0210483/M22,Mountfield 1328H Compact Rear-Collect Ride-On Mower with Hydrostatic Drive,Mountfield,2199.00,2399.00,mountfield-1328h-compact-rear-collect-ride-on-mower-with-hydrostatic-drive
yes,2T2120483/M25,1530H,Mountfield,MF-2T2120483/M25,Mountfield 1530H Rear-Collect Lawn Tractor with Hydrostatic Drive,Mountfield,2499.00,2699.00,mountfield-1530h-rear-collect-lawn-tractor-with-hydrostatic-drive
yes,2T2620483/M25,1538H,Mountfield,MF-2T2620483/M25,Mountfield 1538H Rear-Collect Lawn Tractor with Hydrostatic Drive,Mountfield,2799.00,3029.00,mountfield-1538h-rear-collect-lawn-tractor-with-hydrostatic-drive
yes,2T2630483/M22,1638H,Mountfield,MF-2T2630483/M22,Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Mountfield,2999.00,3249.00,mountfield-1638h-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive
yes,2T0830483/M25,1738H,Mountfield,MF-2T0830483/M25,Mountfield 1738H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Mountfield,3299.00,3599.00,mountfield-1738h-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive
yes,2T0980483/M25,2240H,Mountfield,MF-2T0980483/M25,Mountfield 2240H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Mountfield,3799.00,4099.00,mountfield-2240h-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive
yes,274014004/ST1,E 440,Mountfield,MF-274014004/ST1,Mountfield B440 48v/4Ah Freedom 500 Lithium-Ion Battery,Mountfield,159.00,179.00,mountfield-b440-48v-4ah-freedom-500-lithium-ion-battery
yes,271021100/21,C 215 DU,Mountfield,MF-271021100/21,Mountfield C 215 DU 20v Freedom 100 Dual Standard Charger,Mountfield,45.00,,mountfield-c-215-du-20v-freedom-100-dual-standard-battery-charger
yes,271504203/MUK,MAB 20 Li Kit,Mountfield,MF-271504203/MUK,Mountfield MAB 20 Li Cordless Leaf-Blower,Mountfield,99.00,99.00,mountfield-mab-20-li-cordless-leaf-blower
yes,287120153/M16,MMT 2605 (5 in 1),Mountfield,MF-287120153/M16,Mountfield MMT 2605 5-in-1 Petrol Multi-Tool,Mountfield,359.00,,mountfield-mmt-2605-5-in-1-petrol-multi-tool
yes,2T0210483/M22,1328H,Mountfield,MF-2T0210483/M22-1,Mountfield MTF 72 H Compact Rear-Collect Ride-On Mower with Hydrostatic Drive,Mountfield,2399.00,2539.00,mountfield-mtf-72-h-352cc-72cm-compact-rear-collect-ride-on-mower-with-hydrostatic-drive
yes,2L0486038/M19,SP46 Elite,Mountfield,2L0486038/M19,Mountfield SP46 Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),Mountfield,439.00,,mountfield-sp46-elite-145cc-46cm-3-in-1-self-propelled-petrol-lawnmower-with-honda-engine
yes,2L0536048/M21,SP53,Mountfield,2L0536048/M21,Mountfield SP53 Self-Propelled 3-in-1 Petrol Lawnmower,Mountfield,369.00,399.00,mountfield-sp53-elite-self-propelled-3-in-1-petrol-lawnmower-1
yes,2T2630483/M22,1638H,Mountfield,MF-2T2630483/M22,SHOP SOILED Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive - INCLUDING FREE PETROL BLOWER VAC WORTH £119.95!!,Mountfield,2899.00,3249.00,shop-soiled-mountfield-1638h-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive
yes,271021100/21,C 215 DU,Stiga,STIG-271021100/21,Stiga C 215 DU 20v ePower Twin-Port Battery Charger | 271021100/21,Stiga,45.00,45.00,stiga-c-215-du-20v-epower-twin-port-battery-charger-271021100-21
yes,271021000/21,C 215,Stiga,STIG-271021000/21,Stiga C 215 SU 20v ePower Single-Port Battery Charger | 271021000/21,Stiga,35.00,35.00,stiga-c-215-su-20v-epower-single-port-battery-charger-271021000-21
yes,271012008/ST1,E 22,Stiga,STIG-271012008/ST1,Stiga E22 20v/2Ah ePower Lithium-Ion Battery | 271012008/ST1,Stiga,46.00,43.00,stiga-e22-20v-2ah-epower-lithium-ion-battery-271012008-st1
yes,271014008/ST1,E 24,Stiga,STIG-271014008/ST1,Stiga E24 20v/4Ah ePower Lithium-Ion Battery | 271014008/ST1,Stiga,72.00,65.00,stiga-e24-20v-4ah-epower-lithium-ion-battery-271014008-st1
yes,274012004/ST1,E 420,Stiga,STIG-274012004/ST1,Stiga E420 48v/2Ah ePower Lithium-Ion Battery | 274012004/ST1,Stiga,119.00,,stiga-e420-48v-2ah-lithium-ion-battery
yes,274014004/ST1,E 440,Stiga,274014004/ST1,Stiga E440 48v/4Ah ePower Lithium-Ion Battery 274014004/ST1,Stiga,149.00,,stiga-b440-48v-4ah-epower-lithium-ion-battery
yes,2F7064705/ST1,Gyro 900e,Stiga,STIG-2F7064705/ST1,Stiga Gyro 900e ‘Drive-by-Wire’ Electric Battery-Powered Axial Ride-On Lawnmower,Stiga,9699.00,11229.00,stiga-gyro-900e-125cm-drive-by-wire-electric-battery-powered-axial-ride-on-lawnmower-with-zero-turn-and-joystick-control-2
yes,232511710/15,HEDGE TRIMMER ATTACHMENT,Stiga,STIG-HT-ATTACH-226,Stiga Hedgetrimmer Attachment for Split-Shaft Brushcutters | 232511710/15,Stiga,89.00,89.00,stiga-hedgetrimmer-attachment-for-split-shaft-brushcutters-232511710-15
yes,240271012/ST2,"PR 730 C (10"")",Stiga,STIG-240271012/ST2,"Stiga PR 730 C Top-Handle Petrol Arborist’s Chainsaw with 1/4"" Chain (25cm Guide Bar)",Stiga,239.00,,stiga-pr-730-c-27cc-1hp-top-handle-petrol-arborists-chainsaw-with-25cm-guide-bar
