sku,title
EF-ZEPHYR-72/13H,Efco Zephyr 72H Compact Ride-On Mower with Hydrostatic Drive
AGFA-45-0101,Agri-Fab 340kg-Capacity Steel Tipping-Trailer | 45-0101
AGFA-45-0492,Agri-Fab Smart-Sweep 122cm Towed Lawn & Leaf Sweeper | 45-0492
AGFA-45-0218,Agri-Fab 66cm Hand-Propelled Lawn Sweeper | 45-0218
AGFA-45-0530,Agri-Fab 39kg-Capacity Towed Broadcast Spreader | 45-0530
AGFA-45-0527,Agri-Fab 50kg-Capacity Towed Broadcast Spreader | 45-0527
AGFA-45-0531,Agri-Fab 39kg-Capacity Deluxe Hand-Propelled Broadcast Spreader | 45-0531
AF-45-0567,Agri-Fab 50kg-Capacity Hand-Propelled Broadcast Spreader | 45-0567
AGFA-45-0545,Agri-Fab 107cm Towed 2-in-1 Aerator/Spreader | 45-0545
AGFA-45-0299,Agri-Fab 122cm Towed Plug-Type Aerator | 45-0299
AGFA-45-0294,Agri-Fab 102cm Spring-Tine Dethatcher | 45-0294
AGFA-45-0295,Agri-Fab 122cm Spring-Tine Dethatcher | 45-0295
AGFA-45-0268,Agri-Fab 92cm Tow-Behind Lawn & Garden Roller | 45-0268
AGFA-45-0269,Agri-Fab 122cm Tow-Behind Lawn & Garden Roller | 45-0269
AGFA-45-0267,Agri-Fab 60cm Push/Tow Lawn & Garden Roller | 45-0267
FLY-FTL250,Flymo Turbo Lite 250 Electric Hover Mower
FLY-FES340R,Flymo EasiStore 340R Electric 4-Wheel Roller Lawnmower
LFP-448HW,"Lawnflite-Pro 448HW Professional Self-Propelled Petrol Lawnmower (with 2-Speed Drive, Blade-Brake Clutch & Honda Engine)"
LFP-553HWS,"Lawnflite-Pro 553HWS Professional Self-Propelled Petrol Lawnmower (with 2-Speed Drive, Blade-Brake Clutch & Honda Engine)"
LFP-553HWS-PRO,"Lawnflite-Pro 553HWS-PRO Professional Self-Propelled Petrol Lawnmower (with 2-Speed Drive, Blade-Brake Clutch & Honda Engine)"
LFP-553HWSP-HST,"Lawnflite-Pro 553HWSP-HST Professional Self-Propelled Petrol Lawnmower (with Hydrostatic Drive, Blade-Brake Clutch & Honda Engine)"
MF-SP555V,Mountfield SP555-V 3-in-1 Variable-Speed Petrol Lawnmower (with Honda Engine)
MASP-482948,Masport 500 AL Hand-Propelled  Petrol Lawnmower with Low-Vibration Handlebar
LFP-448SJR,Lawnflite-Pro 448SJR Professional Shaft-Driven Petrol Rear-Roller Lawnmower
LFP-553HRS,Lawnflite-Pro 553HRS Professional Shaft-Driven Petrol Rear-Roller Lawnmower with Blade-Brake Clutch & Honda Engine
LFP-553HRS-PROHS,Lawnflite-Pro 553HRS-PROHS Professional Shaft-Driven Petrol Rear-Roller Lawnmower (with Honda Engine)
MASP-457949,Masport Rotarola RR 18 Hand-Propelled Petrol Rear-Roller Lawnmower
MF-S461R-PD,Mountfield S461R-PD Self-Propelled Petrol Rear-Roller Lawnmower
MASP-419090,Masport Olympic 400 Petrol Cylinder Mower
MASP-419091,Masport Olympic 500 Cylinder Mower
MASP-19028-OLYMPIC-660,Masport Olympic 660 Petrol Cylinder Mower
MASP-419103,Masport Olympic Golf Petrol Cylinder-Mower
HAN-THHM,The Handy THHM Manual Cylinder-Mower
ECH-ES-250ES,Echo ES-250ES Shred N' Vac® Handheld Petrol Blower-Vacuum
ST-SH-56-CE,STIHL SH 56-CE Handheld Garden Vacuum-Shredder
ST-SH-86-CE,STIHL SH 86 C-E Handheld Garden Vacuum-Shredder
ST-BG-56-CE,STIHL BG 56-CE Handheld Petrol Leaf-Blower
ST-BG-86-C-E,STIHL BG 86 C-E Handheld Petrol Leaf-Blower
ST-SHE-71,STIHL SHE-71 Electric Hand-Held Garden Blower-Vac
ECH-SRM-3611TL,Echo SRM-3611TL High-Torque Petrol Brushcutter
ST-FS40,STIHL FS40 Curved-Shaft Grass Trimmer
ST-FS55,STIHL FS55 Lightweight Brushcutter
ST-FS56R,STIHL FS55 R Lightweight Brushcutter
ST-FS56-C-E,STIHL FS56 C-E Lightweight Brushcutter with ErgoStart
ST-FS56-RC-E,STIHL FS56 RC-E Lightweight Brushcutter with ErgoStart
ST-FS461-C-EM,STIHL FS461 C-EM Professional Clearing-Saw
ST-FR460-TC-FEM,STIHL FR460 TC-FEM Backpack Brushcutter with Self-Tuning Engine & Electro-Start
FLY-FMINITRIMSTD,Flymo Mini-Trim ST Electric Grass-Trimmer
FLY-FCONTOURXT,Flymo Contour XT 2-in-1 Electric Grass-Trimmer & Lawn Edger
FLY-FCONTOUR500E,Flymo Contour 500E 3-in-1 Electric Grass-Trimmer
ST-FSE-31,STIHL FSE 31 Electric Grass-Trimmer
ECH-HC-2020,Echo HC-2020 Petrol Hedgetrimmer
ECH-HC-2020R,Echo HC-2020R Petrol Hedgetrimmer
ECH-HCR-165ES,Echo HCR-165ES Petrol Hedgetrimmer
ECH-HCS-2810ES,Echo HCS-2810ES Single-Sided Petrol Hedgetrimmer
ECH-HCS-3810ES,Echo HCS-3810ES Single-Sided Petrol Hedgetrimmer
ECH-HCA-265ES-HD,Echo HCA-265ES-HD Long-Reach Petrol Hedgetrimmer
ST-HS45-18,STIHL HS45-18 Petrol Hedgetrimmer (45cm Blades)
ST-HS45-24,STIHL HS45-24 Petrol Hedgetrimmer (60cm Blades)
BOISIO3SHAPENEDGEG,Bosch Isio 3.6v Li-ion Cordless Shrub & Edging-Shear Set
FLY-FEASICUT460,Flymo EasiCut 460 Electric Hedgetrimmer (45cm Blades)
ST-HSE-52,STIHL HSE-52 Electric Hedgetrimmer
ST-HSE-71-24,STIHL HSE-71/24 Electric Hedgetrimmer
ST-HSE-81-28,STIHL HSE-81/28 Electric Hedgetrimmer
ST-HLE-71,STIHL HLE-71 Electric Long-Reach Hedgetrimmer
FLY-FSABCUTXT20V,Flymo SabreCut C-Link 20v Cordless Long-Reach Hedgetrimmer (with Telescopic Shaft)
ECH-CS-3510AC,Echo CS-3510AC Petrol Chainsaw (35cm Guide Bar)
ECH-CS-362WES,Echo CS-362WES Petrol Chainsaw (35cm Guide Bar)
ECH-CS-3510ES,Echo CS-3510ES Petrol Chainsaw (35cm Guide Bar)
ECH-CS-420ES,Echo CS-420ES Petrol Chainsaw (38cm Guide Bar)
ECH-CS-4310SX,Echo CS-4310SX Petrol Chainsaw (40cm Guide Bar)
ECH-CS-590,Echo CS-590 Petrol Chainsaw (50cm Guide Bar)
ECH-CS-7310SX,Echo CS-7310SX Petrol Chainsaw (60cm Guide Bar)
ST-MS171,STIHL MS171 Petrol Chainsaw (30cm Guide Bar)
ST-MS171-14,STIHL MS171 Petrol Chainsaw (35cm Guide Bar)
ST-MS181-14,STIHL MS181 Petrol Chainsaw (30cm Guide Bar)
ST-MS181-16,STIHL MS181 Petrol Chainsaw (35cm Guide Bar)
4ST-MS181-CBE-14,STIHL MS181 C-BE Petrol Chainsaw (30cm Guide Bar)
ST-MS181CBE-16,STIHL MS181 C-BE Petrol Chainsaw (35cm Guide Bar)
ST-MS211-14,STIHL MS211 Petrol Chainsaw (35cm Guide Bar)
ST-MS211-16,STIHL MS211 Petrol Chainsaw (40cm Guide Bar)
ST-MS211CBE-16,STIHL MS211 C-BE Petrol Chainsaw (40cm Guide Bar)
ST-MS231,STIHL MS231 Petrol Chainsaw (35cm Guide Bar)
ST-MS231-16,STIHL MS231 Petrol Chainsaw (40cm Guide Bar)
ST-MS231CBE,STIHL MS231 C-BE Petrol Chainsaw (35cm Guide Bar)
ST-MS231CBE-16,STIHL MS231 C-BE Petrol Chainsaw (40cm Guide Bar)
ST-MS251-16,STIHL MS251 Petrol Chainsaw (40cm Guide Bar)
ST-MS251-18,STIHL MS251 Petrol Chainsaw (45cm Guide Bar)
ST-MS251CBE,STIHL MS251 C-BE Petrol Chainsaw (35cm Guide Bar)
ST-MS251CBE-16,STIHL MS251 C-BE Petrol Chainsaw (40cm Guide Bar)
ST-MS291-16,STIHL MS291 Petrol Chainsaw (40cm Guide Bar)
ST-MS291-18,STIHL MS291 Petrol Chainsaw (45cm Guide Bar)
ST-MS391,STIHL MS391 Petrol Chainsaw (40cm Guide Bar)
AP-946162350,Apache Euro 5 Petrol Front-Tine Cultivator
AP-985000000,Apache RTT3 Two-Wheel Rear-Tine Rotary Cultivator (Briggs & Stratton Engine)
HAN-THET-A,Handy THET-A Electric Tiller / Cultivator
MANT-8222,Mantis Crevice-Cleaner Attachment | 8222
MANT-7321,Mantis Aerator & Dethatcher Attachments - Combo Package | 7321
MANT-7263-12-14,Mantis 4-Stroke Petrol Mini-Tiller with Honda Engine | 7263-12-14
MANT-7252-12-40,Mantis Electric Mini-Tiller/Cultivator | 7252-12-40
MTD-T205,MTD T205 Petrol Front-Tine Tiller
MTD-T245,MTD T245 Petrol Front-Tine Tiller
HYU-HYCH1400,Hyundai 420cc/15hp Petrol Chipper-Shredder | HYCH1400
MASP-6.5XL,Masport 6.5XL Petrol Chipper-Shredder
EF-AG40-S50,Efco AG40-S50 Professional Petrol Lawn Scarifier
HAN-THLGT,The Handy THLGT Garden Trolley (Large)
GV-F-5200-5LR,5 Litre Steel Jerry Can (F-5200)
GV-F-1200-10LR,10 Litre Red Steel Jerry Can (F-1200)
GV-F-2200-20LK,20 Litre Khaki Steel Jerry Can (F-2200)
HAN-THLS-6,The Handy 6-Ton Horizontal Electric Log-Splitter | THLS 6G
ST-RE130,STIHL RE130-Plus Electric High-Pressure Washer
ECH-PPT-2620HES,Echo PPT-2620HES Power Pruner
HAN-THGR,The Handy TH-GR Garden Roller
AP-M210,Apache M210 Sickle-Bar Mower
SOL-462,Solo 462 Hand-Held High-Pressure Garden Sprayer
EF-AR53-TBX,Efco AR53-TBX AllRoad ALU 3-in-1 Self-Propelled Petrol Lawnmower with Aluminium Deck
CC-XM3ER53,Cub Cadet XM3ER53 3-in-1 Variable-Speed Petrol Lawnmower with Blade-Brake Clutch
AGFA-45-0329,Agri-Fab 79kg-Capacity ATV-Towed Broadcast Spreader | 45-0329
FLY-FEASICUT610XT,Flymo EasiCut 610XT Electric Hedgetrimmer (60cm Blades)
HAN-THSHWCS,Handy Saw Horse (With Chainsaw Support)
MASP-483809,Masport 200 ST Hand-Propelled Petrol Lawnmower
MASP-457951,Masport Rotarola RRSP 22 Self-Propelled Petrol Rear-Roller Lawnmower
MASP-479903,Masport Contractor 625 AL Hand-Propelled Petrol Lawnmower with Low-Vibration Handlebar
MASP-578967,Masport 350 ST SP Combination 3-in-1 Self-Propelled Petrol Lawnmower
MASP-480955,Masport Widecut 800 ST SP Combination 3-in-1 Self-Propelled Petrol Lawnmower
C-SP22111,Spectrum 227kg-Capacity Poly Tipping-Cart / Wheelbarrow |  SP22111
AGFA-45-0462,Agri-Fab 56kg-Capacity Hand-Propelled Broadcast Spreader | 45-0462
AGFA-45-0463,Agri-Fab 56kg-Capacity Towed Broadcast Spreader | 45-0463
EIN-GC-SC-4240,Einhell GC-SC 4240-P Petrol Lawn Scarifier
EF-8091,Efco 8091 Curved-Shaft Electric Grass-Trimmer
HAN-THFST,The Handy THFST Heavy-Duty Folding Sack-Truck
HAN-THHTA,The Handy Hollow-Tine Aerator
EF-2000E,Efco MT-2000E Electric Chainsaw (40cm Guide Bar)
HAN-THPDC,Handy THPDC Poly Dump-Cart
AGFA-45-0474,Agri-Fab SmartLINK™ 104cm Core Aerator | 45-0474
AGFA-45-0457,Agri-Fab SmartLINK™ 104cm Spring-Tine Dethatcher | 45-0457
SPEC-SP45103,Spectrum 91cm Towed Steel Lawn-Roller | SP45103
AGFA-45-0458,Agri-Fab 45-0458 SmartLINK™ 104cm Towed Spike-Aerator
SOL-475-D,Solo 475/D Diaphragm-Pump Backpack Sprayer
AGFA-45-0288,Agri-Fab 79kg-Capacity Tow-Behind Drop Spreader | 45-0288
CC-XZ3-122,Cub Cadet XZ3122 Zero-Turn Ride-On Mower
AGFA-45-0303,Agri-Fab 159kg-Capacity Economy Steel Tipping-Trailer | 45-0303
SNAP-NX-40,Snapper NX-40 3-in-1 Self-Propelled Petrol Lawnmower
SNAP-NX-100,Snapper NX-100 Ninja® Variable-Speed Petrol Mulching Lawnmower with Side-Discharge
SNAP-NX-80S,Snapper NX-80S 4-in-1 Variable-Speed Petrol Lawnmower with Push-Button Start
ST-FS461-C-EM-L,STIHL FS461 C-EM L Professional Long-Shaft Clearing Saw
LF-O53SPBHWIS,Lawnflite O53SPBHWIS 4-in-1 Hi-Wheel Self-Propelled Petrol Lawnmower with Electric Start
OM-SR-38-B45,Oleo-Mac SCA38 B45 Professional Petrol Lawn Scarifier
SNAP-NX-90V,Snapper NX-90V 4-in-1 Variable-Speed Petrol Lawnmower
GV-SP0001,MD Green Valley Stainless Steel Garden Spade (SP0001)
GV-FK0002,MD Green Valley Stainless Steel Garden Fork (FK0002)
GV-BF0001,MD Green Valley Stainless Steel Border Fork (BF0001)
GV-BS0001,MD Green Valley Stainless Steel Border Spade (BS0001)
GV-SP0002,MD Green Valley Stainless Steel Garden Spade with Poly hilt (SP0002)
GV-FK0003,MD Green Valley Stainless Steel Garden Fork with Poly Hilt (FK0003)
GV-GR0001,MD Green Valley Stainless Steel Garden Rake - Fibreglass Handle (GR0001)
GV-SF0001,MD Green Valley Stainless Steel Garden Spade/Fork Set (SF0001)
EF-TG2460P,Efco TG-2460-P Double-Sided Petrol Hedgetrimmer (60cm Blades)
EF-TGS-2470-P,Efco TGS-2470-P Single-Sided Petrol Hedgetrimmer (75cm Blades)
EF-DS2410H,Efco DS2410-H Long-Reach Petrol Hedgetrimmer (50cm Blades)
EF-TG605E,Efco TG-605E Electric Hedgetrimmer (60cm Blades)
BERT-BT413S-10-4,Bertolini BT413S-10 Professional Snow-Plough
BERT-BT413S-10E-3,Bertolini BT413S-10E Professional Snow-Plough
ST-BR500,STIHL BR500 Backpack Leaf-Blower
ST-BR600,STIHL BR600 Magnum Petrol Backpack Leaf-Blower
HAN-THPLS,Handy Push Lawn & Leaf Sweeper (Code: THPLS) (Special Offer)
EF-5500,Efco DSF5500 Ergo Backpack Brushcutter
EF-MTT-2500,Efco MTT-2500 Top-Handle Petrol Arborist's Chainsaw (25cm Guide Bar)
FLY-FCHEVRON32V,Flymo Chevron 32V Electric 4-Wheel Roller Lawnmower
FLY-FCHEVRON32VC,Flymo Chevron 32VC Electric 4-Wheel Roller Lawnmower
FLY-FES380R,Flymo EasiStore 380R Electric 4-Wheel Roller Lawnmower
FLY-FHV250,Flymo Hover Vac 250 Electric Hover Mower
FLY-FEG300,Flymo EasiGlide 300 Electric Hover Mower
FLY-FGLIDERCOM330AX,Flymo Glider Compact 330 AX Electric Hover Mower
EF-DR51-VB6,Efco DR51VB6 Variable-Speed Wheeled Brushcutter
EF-DEB528,Efco DEB528 3-Speed Wheeled Brushcutter
EF-LR48-TK,Efco LR48-TK Comfort-Plus 3-in-1 Self-Propelled Petrol Lawnmower
EF-PR40S,Efco PR40S Hand-Propelled Electric Lawnmower
OM-PW300HC,Oleo Mac PW300HC Electric Hot-Water Pressure Washer
EF-SA2500,Efco SA2500 Handheld Petrol Blower
EF-SA2062,Efco SA2062 Petrol Backpack Blower
OM-G44PK,Oleo-Mac G44-PK Comfort-Plus Hand-Propelled Petrol Lawnmower
OM-G48PK,Oleo-Mac G48-PK Comfort-Plus Hand-Propelled Petrol Lawnmower
OM-G48TK,Oleo-Mac G48-TK Comfort-Plus Self-Propelled Petrol Lawnmower
SIMP-SYT410,Simplicity Broadmoor SYT410 Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive & Lawn-Striping Rollers
CC-13CFA1CR603,Cub Cadet XT2QR106 Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
CC-XT3QS127,Cub Cadet XT3QS127 Heavy-Duty Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive
ECH-PB-2520,Echo PB-2520 Handheld Petrol Leaf-Blower
EF-MT4110-325,Efco MT-4110-325 Multi-Purpose Petrol Chainsaw (40.5cm Guide Bar)
OM-GS200E,Oleo-Mac GS200E Electric Chainsaw (41cm Guide Bar)
AP-AR601,Apache AR601 Professional Petrol Scarifier
LFP-POWERED-SCYTHE-MOWER,Lawnflite BM87-35 Powered Scythe-Mower
EF-LR53-TK,Efco LR53-TK Comfort-Plus 3-in-1 Self-Propelled Petrol Lawnmower
AGFA-45-0473,Agri-Fab SmartLINK™ Tow-Behind Lawn-Care System - Master Platform | 45-0473
EF-2500TR,Efco Stark 2500TR Low-Emission Curved-Shaft Petrol Grass-Trimmer
EF-DS2700S,Efco DS2700-S Low-Emission Petrol Brushcutter
EF-DS2700T,Efco DS2700-T Low-Emission Petrol Brushcutter
EF-DS3200S,Efco DS3000-S Low-Emission Petrol Brushcutter
EF-DS3000T,Efco DS3000-T Low-Emission Petrol Brushcutter
LF-RN145,Lawnflite RN145 Rear-Collect Lawn Tractor with Transmatic Drive
EF-MTT-3600,Efco MTT-3600 Top-Handle Petrol Arborist's Chainsaw (35.5cm Guide Bar)
CC-XT2-PR95,Cub Cadet XT2PR95 Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
BERT-BT413S-9H,Bertolini BT413S-9H Professional Two-Wheel Tractor (Honda Engine)
BERT-BT413S-10,Bertolini BT413S-10 Professional Two-Wheel Diesel Tractor
BERT-BT413S-10E-5,Bertolini BT413S-10E Professional Two-Wheel Diesel Tractor with Electric Start
BERT-BT413S-9H-3,Bertolini BT413S-9H Professional Two-Stage Snow Blower (Honda Engine)
BERT-BT413S-10-3,Bertolini BT413S-10 Professional Two-Stage Snow Blower
BERT-BT413S-10E-4,Bertolini BT413S-10E Professional Two-Stage Snow Blower (With Electric Start)
MF-TOW-BAR-84CM-299900395-0,Mountfield Tow Bar - for 84cm & 98cm Rear-Collect Tractors | 299900395/0
MASP-457946,Masport RRSP 22H Self-Propelled Petrol Rear-Roller Lawnmower (with Honda Engine)
MASP-457945,Masport Rotarola RRSP 18H Self-Propelled Petrol Rear-Roller Lawnmower (with Honda Engine)
LF-76SDE,Lawnflite Mini-Rider 76-SDE Compact Side-Discharge Ride-On Mower with Transmatic Drive
CC-LR1MR76,Cub Cadet LR1MR76 Compact Rear-Collect Ride-On Mower with Transmatic Drive
FLY-FSM360VC,Flymo Speedi-Mo 360VC Electric Lawnmower
OM-G53-TK,Oleo-Mac G53-TK Comfort-Plus Self-Propelled Petrol Lawnmower
BERT-BT413S-9H-2,Bertolini BT413S-9H Petrol-Powered Commercial Scythe Mower (Honda Engine)
BERT-BT413S-10-2,Bertolini BT413S-10 Diesel-Powered Commercial Scythe Mower
BERT-BT413S-10E,Bertolini BT413S-10E Diesel-Powered Commercial Scythe Mower (with Electric Start)
8026619087265,Oleo-Mac Apache 92 EVO Professional V-Twin All-Terrain Mulching Garden Tractor
8026619087272,Oleo-Mac Apache 92 EVO Professional 4WD V-Twin All-Terrain Mulching Garden Tractor
MF-PRINCESS-38,Mountfield Princess 38 Electric 4-Wheel Roller Lawnmower
MF-PRINCESS-34,Mountfield Princess 34 Electric 4-Wheel Roller Lawnmower
294386063/M26,Mountfield Princess 38 Li KIT 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger)
BERT-BT195,Bertolini BT195 Petrol Front-Tine Cultivator with Reverse Drive
OM-250-TR,Oleo-Mac Sparta 250-TR Low-Emission Curved-Shaft Petrol Grass-Trimmer
OM-SPARTA-250-S,Oleo-Mac Sparta 250-S Low-Emission Petrol Brushcutter
BERT-BT401S-2,Bertolini BT401S Two-Wheel Rear-Tine Rotary Cultivator (Honda Engine)
BERT-BT401S,Bertolini BT401S Petrol-Powered Scythe Mower (Honda Engine)
STIG-Titan-Snow-Chains-13-7914-11,"Stiga Titan Snow Chains 20"" x 10 (13-7914-11)"
STIG-TITAN-PLOUGH-13-7938-11,Stiga Titan 140H Snow Plough Blade (13-7938-11)
STIG-Titan-SL90-Spreader-13-7917-13,Stiga Titan SL90 Self-Loading Sand Spreader (13-7917-13)
STIG-TITAN-SPREADER-90,Stiga Titan S90 Sand Spreader (13-7916-12)
STIG-RUBBER-SCRAPER-13-1958-62,Stiga Rubber Scraper Bar for 120cm Snow Blade | 13-1958-62
STIG-13-0977-11,Stiga 100cm Rotary Brush Attachment for Park Front-Cut Ride-On Mowers | 13-0977-11
STIG-RB130H-SWEEPER-13-7912-13,Stiga Titan RB130H Rotary Brush Snow Sweeper (13-7912-13)
STIG-BEACON-13-7933-11,Stiga Titan Beacon Light Kit  (13-7933-11)
STIG-PARK-SSSB-13-0974-11,Stiga Front-Mount Single-Stage Snow Blower for Park Ride-On Mowers | 13-0974-11
EF-DR65-HR-11,Efco DR65-HR11 Professional Flail Mower (Honda Engine)
GW-G40B4,Greenworks 40v/4Ah Lithium-Ion Battery | G40B4
GW-G40C,Greenworks 40v Battery Charger | G40C
BERT-BT405-CULT,Bertolini BT405S Two-Wheel Rear-Tine Rotary Cultivator (Honda Engine)
EF-LR53-TK-AR,Efco LR53-TK AllRoad Plus-4 4-in-1 Self-Propelled Petrol Lawnmower
EF-LR53-TBX-AR,Efco LR53-TBX AllRoad Plus-4 4-in-1 Self-Propelled Petrol Lawnmower
EF-LR-53-EXA-4,Efco LR53-TK Allroad EXA 4 Self-Propelled Lawn Mower
OM-GS-371,Oleo-Mac GS-371 Petrol Chainsaw (35cm Guide Bar)
OM-GS-411,"Oleo-Mac GS-411-3/8 Petrol Chainsaw (41cm Guide Bar with 3/8"" Chain)"
OM-GS44,Oleo-Mac GS-440 Petrol Chainsaw (41cm Guide Bar)
ST-BG-66-C-E,STIHL BG 66 C-E Handheld Petrol Leaf-Blower
ST-BR200,STIHL BR200 Backpack Leaf-Blower
ST-BR350,STIHL BR350 Petrol Backpack Leaf-Blower
ST-BR430,STIHL BR430 Backpack Leaf-Blower
ST-FS411-C-EM,STIHL FS411 C-EM Professional Clearing-Saw
ST-FS491-C-EM,STIHL FS491 C-EM Professional Clearing Saw
ST-FS560-C-EM,STIHL FS561 C-EM Professional Clearing-Saw
ST-HS46CE,STIHL HS46 C-E Petrol Hedgetrimmer (55cm Blades)
ST-HS56-C-E,STIHL HS56 C-E Petrol Hedgetrimmer (60cm Blades)
ST-HS82-RC-E,STIHL HS82 RC-E Professional Petrol Hedgetrimmer
ST-HS82-T,STIHL HS82 T Professional Petrol Hedgetrimmer (75cm Blades)
ST-HS87-R,STIHL HS87 R Professional Petrol Hedgetrimmer (75cm Blades)
ST-HS87-T-30,STIHL HS87 T 30 Professional Single-Sided Petrol Hedgetrimmer (75cm Blades)
MD-SAW-HORSE-WITH-CLAMP,MD Saw Horse with Chainsaw Attachment (THSHWCS)
OM-MAX-53TK-PRO,Oleo-Mac MAX 53TK AllRoad Pro Self-Propelled Petrol Lawnmower with Aluminium Deck
LON-LC2000i,Loncin LC2000i Inverter Generator
LON-LC2500-AS,Loncin LC2500-AS Generator
LON-LC3000-AS,Loncin LC3000-AS Generator
LON-LC5000D-AS,Loncin LC5000D-AS Generator
OM-G53-TK-ALLROAD-PLUS-4,Oleo-Mac G53-TK AllRoad Plus-4 4-in-1 Self-Propelled Petrol Lawnmower
OM-G53-THX-ALLROAD-PLUS-4,Oleo-Mac G53-THX AllRoad Plus-4 4-in-1 Self-Propelled Petrol Lawnmower
MF-34LI-F48,Mountfield Princess 34 Li KIT 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger)
MF-HW531-PD,Mountfield HW531-PD 4-in-1 Self-Propelled Lawnmower
MF-MANOR-COMPACT-36,Mountfield Manor Compact 36 V Petrol Front-Tine Cultivator
LON-LC2000i-S,Loncin LC2000i-S Synchronising Inverter Generator
LON-LC50ZB60-4.5Q,"Loncin LC50ZB60-4.5Q 2"" Petrol Powered High Lift Water Pump"
LON-LC80ZB35-4.5Q,"Loncin LC80ZB35-4.5Q 3"" Petrol Powered Water Pump"
LONCIN-LC80WB30-4.5Q,"Loncin LC80WB30-4.5Q 3"" Petrol Powered Dirty-Water Pump"
LF-60RDE,Lawnflite Mini-Rider 60-RDE Ultra-Compact Rear-Collect Ride-On Mower with Transmatic Drive
LF-MTD96,Lawnflite MTD96 Side-Discharge Lawn Tractor with Transmatic Drive
STIHL-BGA86,STIHL BGA 86 Cordless Leaf-Blower (Tool Only)
EF-AR48-TBX,Efco AR48-TBX AllRoad ALU Self-Propelled Petrol Lawnmower with Aluminium Deck
OM-OM93/16K,Oleo-Mac OM93/16K Rear-Collect Lawn Tractor with Hydrostatic Drive
OM-OM98L/14.5KH,Oleo-Mac OM98L/14.5KH Side-Discharge Lawn Tractor with Hydrostatic Drive
STIG-291501048/ST2,Stiga Multiclip 550 Hand-Propelled Petrol Mulching Lawnmower
STIG-291503038/ST1,Stiga Multiclip 950 V Self-Propelled Petrol Mulching Lawnmower (with Honda Engine)
STIG-2F5820421/ST2,Stiga Park 300 Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-2T1220481/ST2,Stiga Tornado 5108 W Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive
STIG-2T2000481/ST3,Stiga Estate 384 M Rear-Collect Lawn Tractor with Manual Drive
STIG-2T0070481/ST2,Stiga Combi 166 Compact Rear-Collect & Side-Discharge Ride-On Mower with Hydrostatic Drive
MF-299900038/1,Mountfield/Stiga Mulching Plug - for 92cm Rear-Collect Tractors | 299900038/1
STIG-2F6130645/ST2,Stiga Park 500 WX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-2F6230625/ST2,Stiga Park 900 WX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-2F6430831/ST2,Stiga Park Pro 900 WX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-2F6430931/ST2,Stiga Park Pro 900 AWX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-RUBBER-SCRAPER-FOR-140H-SNOW-BLADE,Stiga Titan Rubber Scraper for 140cm Snow Plough (13-7939-11)
STIG-REVERSE-KIT-130H-SWEEPER,Stiga Titan Reverse Kit for RB130H Sweeper (13-7925-11)
STIG-PIVOT-WHEELS-130H-SWEEPER,Stiga Titan Front Wheel Kit for RB130H Sweeper (13-7924-11)
STIG-13-3902-11,Stiga Flail-Mower Attachment (with Electric Height-Adjustment) for Park Front-Cut Ride-On Mowers | 13-3902-11
STIG-LAWN-RAKE,Stiga Lawn-Rake Attachment (with Electric Height-Adjustment) for Park Front-Cut Ride-On Mowers | 13-3901-11
STIG-13-3910-11,Stiga 90cm Front-Mounted Sweeper (with Collector) for Park Front-Cut Ride-On Mowers | 13-3910-11
STIG-PARK-PRO-SAND-FERT-SPREADER,Stiga Tow-Behind Fertiliser & Salt Spreader for Park Pro Front-Cut Ride-On Mowers | 13-1975-14
STIG-PARK-FLAIL-MOWER-AXLE,Stiga Flail-Mower Axle for Park Lawn-Rake Attachment | 13-1985-11
STIG-PARK-LAWN-RAKE-AXLE,Stiga Park Lawn-Rake Axle for Park Flail-Mower Attachment | 13-1986-11
STIG-PARK-ROTARY-BRUSH,Stiga 100cm Rotary Brush Attachment c/w Dust Cover for Park Front-Cut Ride-On Mowers | 13-0977-11 c/w 13-1936-62
