"id","org_id","created_date","created_by_user_id","last_modified_date","last_modified_by_user_id","deleted_date","deleted_by_user_id","product_code","product_sku","display_image_id","product_name","product_description","cost_price","cost_price_average","cost_price_percentage","cost_chart_of_accounts","cost_currency","premium_declaration_cost_price","underwriter_cost_price","underwriter_cost_price_percentage","agent_cost_price","agent_cost_price_percentage","sell_currency","sell_price","sell_chart_of_accounts","status","product_type","product_category","parent_product_id","is_parent_product","pending_product_qty_in_stock","product_qty_in_stock","manage_stock","stock_value","resell_value","minimum_retail_price","maximum_retail_price","template_id","company_id","start_date","end_date","external_reference","sales_unit","recommended_retail_price","weight","service_levy_percentage","admin_fee","service_provision","plan_operating_charge","clip_fee_percentage","location","margin_calculation","supplier_id","part_number","bay","ean_barcode","product_image"
66750,6,,,,777,,,"297411043/M21","297411043/M21",,"MOUNTFIELD HP41 HAND PROPELLED PETROL LAWNMOWER","MOUNTFIELD HP41 HAND PROPELLED PETROL LAWNMOWER",115.33,123.55,,"4010","GBP",,,,,,"GBP",157.5,"4010","Active","4010 - WALK BEHIND LAWNMOWERS","31",,0,0,12,1,1383.96,1890,,,,,,,"C-297411043/M21",,,,,,,,,"",,,,,,
66849,6,,,"2026-01-12T09:11:53.000Z",24305274,,,"2T2010483/M25","2T2010483/M25",,"MOUNTFIELD 1330M REAR-COLLECT LAWN TRACTOR WITH MANUAL DRIVE","MOUNTFIELD 1330M REAR-COLLECT LAWN TRACTOR WITH MANUAL DRIVE",864,976.42,,"4011","GBP",,,,,,"GBP",1799.17,"4011","Active","4011 - RIDE ON LAWNMOWERS","31",,0,0,26,1,22464,46778.42,,,,,,,"C-2T2010483/M25",,,171,,,,,,"",,752173,,,,
67204,6,,,,777,,,"DM1E34FB.6.1","DM1E34FB.6.1",,"AIR FILTER DM26PB/PBV","AIR FILTER DM26PB/PBV",0.01,0.01,,"4000","GBP",,,,,,"GBP",11.4,"4000","Active","4000 - Delivery charges - outward freight","20",,0,0,20,1,0.2,228,,,,,,,"C-DM1E34FB.6.1",,,,,,,,,"DM9C BOX",,,,,,
67207,6,,,,777,,,"DM26C","DM26C",,"SPECTRUM DM26C CURVED-SHALF PETROLGRASS-TRIMMER","SPECTRUM DM26C CURVED-SHALF PETROLGRASS-TRIMMER",33.65,35.23,,"4012","GBP",,,,,,"GBP",189.95,"4012","Active","4012 - HANDHELD PRODCUTS","26",,0,0,74,1,2490.1,14056.3,,,,,,,"C-DM26C",,,5,,,,,,"",,,,,,
67209,6,,,,777,,,"DM26L","DM26L",,"SPECTRUM DM26L PETROL BRUSHCUTTER","SPECTRUM DM26L PETROL BRUSHCUTTER",42.4,42.4,,"4012","GBP",,,,,,"GBP",259.95,"4012","Active","4012 - HANDHELD PRODCUTS","26",,0,0,32,1,1356.8,8318.4,,,,,,,"C-DM26L",,,5.1,,,,,,"",,,,,,
67212,6,,,,777,,,"DM26PBV","DM26PBV",,"SPECTRUM DM26PBV PETROL BLOWER-VAC","SPECTRUM DM26PBV PETROL BLOWER-VAC",44.8,40,,"4012","GBP",,,,,,"GBP",228.95,"4012","Active","4012 - HANDHELD PRODCUTS","26",,0,0,233,1,10438.4,53345.35,,,,,,,"C-DM26PBV",,,4.5,,,,,,"",,,,,,
67315,6,,,,777,,,"FSC","FSC",,"FEIDER POWERED RAKE ATTACHMENT FOR FAST175T","FEIDER POWERED RAKE ATTACHMENT FOR FAST175T",19.41,19.41,,"4018","GBP",,,,,,"GBP",62.5,"4018","Active","4018 - VACCUMS & SWEEPERS","1",,0,0,28,1,543.48,1750,,,,,,,"C-FSC",,,2,,,,,,"",,752066,,,,
67437,6,,,"2026-04-04T23:10:56.000Z",24305253,,,"PDI","PDI",,"PRE DELIVERY INSPECTION","PRE DELIVERY INSPECTION",0.01,0.01,,"4025","GBP",,,,,,"GBP",125,"4025","Active","4025 - MISC","201",,0,0,821,1,8.21,102625,,,,,,,"C-PDI",,,1,,,,,,"",,,,,,
67449,6,,,,777,,,"RAC139PTIL","RAC139PTIL",,"RACING RAC139PTIL PETROL FRONT-TINE TILLER","RACING RAC139PTIL PETROL FRONT-TINE TILLER",116.44,121.49,,"4017","GBP",,,,,,"GBP",199.95,"4017","Active","4017 - TILLERS & CULTIVATORS","2",,0,0,30,1,3493.2,5998.5,,,,,,,"C-RAC139PTIL",,,32.7,,,,,,"",,,,,,
67476,6,,,,777,,,"RS600","RS600",,"ROADSTARTÂ® 600A 12V LITHIUM-ION JUMP","ROADSTARTÂ® 600A 12V LITHIUM-ION JUMP",42.98,42.98,,"4025","GBP",,,,,,"GBP",62.46,"4025","Active","4025 - MISC","24",,0,0,12,1,515.76,749.52,,,,,,,"C-RS600",,,,,,,,,"",,,,,,
67480,6,,,,777,,,"SBC4","SBC4",,"BATTERY MAINTAINER CHARGER 12V 4A FULLY","BATTERY MAINTAINER CHARGER 12V 4A FULLY",17.98,17.98,,"4025","GBP",,,,,,"GBP",33.29,"4025","Active","4025 - MISC","24",,0,0,16,1,287.68,532.64,,,,,,,"C-SBC4",,,,,,,,,"",,,,,,
67492,6,,,,777,,,"SP22111","SP22111",,"SPECTRUM SP22111 TOWED TRAILER","SPECTRUM SP22111 TOWED TRAILER",68.85,77.89,,"4025","GBP",,,,,,"GBP",249.95,"4025","Active","4025 - MISC","26",,0,0,36,1,2478.6,8998.2,,,,,,,"C-SP22111",,,28.6,,,,,,"",,,,,,
67493,6,,,,777,,,"SP22111-4","SP22111-4",,"SPECTRUM SP22111-4 181KG POLY TIPPING CART","SPECTRUM SP22111-4 181KG POLY TIPPING CART",55.38,70.71,,"4025","GBP",,,,,,"GBP",174.13,"4025","Active","4025 - MISC","26",,0,0,34,1,1882.92,5920.42,,,,,,,"C-SP22111-4",,,25.4,,,,,,"",,,,,,
67494,6,,,"2026-05-21T07:28:55.000Z",24305285,,,"SP22124","SP22124",,"SPECTRUM SP22124 227kg CAPACITY STEEL TRAILER","SPECTRUM SP22124 227kg CAPACITY STEEL TRAILER",69.63,76.53,,"4025","GBP",,,,,,"GBP",269.95,"4025","Active","4025 - MISC","26",,0,0,38,1,2645.94,10258.1,,,,,,,"C-SP22124",,,36.7,,,,,,"",,,,,,
67497,6,,,,777,,,"SP31105","SP31105",,"SPECTRUM SP31105 97CM TOWED LAWN & LEAF SWEEPER","SPECTRUM SP31105 97CM TOWED LAWN & LEAF SWEEPER",87.3,96.03,,"4025","GBP",,,,,,"GBP",166.63,"4025","Active","4025 - MISC","28",,0,0,32,1,2793.6,5332.16,,,,,,,"C-SP31105",,,29,,,,,,"",,,,,,
67498,6,,,,777,,,"SP31109","SP31109",,"SPECTRUM SP31109 122CM TOWED LAWN & LEAF SWEEPER","SPECTRUM SP31109 122CM TOWED LAWN & LEAF SWEEPER",99.55,114.74,,"4025","GBP",,,,,,"GBP",369.95,"4025","Active","4025 - MISC","26",,0,0,27,1,2687.85,9988.65,,,,,,,"C-SP31109",,,37,,,,,,"",,,,,,
67499,6,,,"2025-11-17T12:17:18.000Z",24305274,,,"SP31128","SP31128",,"SPECTRUM SP31128 137CM TOWED LAWN & LEAF SWEEPER","SPECTRUM SP31128 137CM TOWED LAWN & LEAF SWEEPER 54""",115.59,129.27,,"4025","GBP",,,,,,"GBP",439.95,"4025","Active","4025 - MISC","26",,0,0,26,1,3005.34,11438.7,,,,,,,"C-SP31128",,,44.9,,,,,,"",,,,,,
67651,6,,,"2026-05-06T10:24:53.000Z",24305281,,,"TG51SE","TG51SE",,"SPECTRUM TG51SE KEY START LAWNMOWER","SPECTRUM TG51SE KEY START LAWNMOWER",126.92,138.49,,"4010","GBP",,,,,,"GBP",416.63,"4010","Active","4010 - WALK BEHIND LAWNMOWERS","26",,0,0,107,1,13580.44,44579.41,,,,,,,"C-TG51SE",,,36,,,,,,"",,,,,,
67653,6,,,,777,,,"TG56SE","TG56SE",,"SPECTRUM TG56SE KEY START LAWNMOWER","SPECTRUM TG56SE KEY START LAWNMOWER",137.69,145.12,,"4010","GBP",,,,,,"GBP",499.96,"4010","Active","4010 - WALK BEHIND LAWNMOWERS","26",,0,0,94,1,12942.86,46996.24,,,,,,,"C-TG56SE",,,38,,,,,,"",,,,,,
67700,6,,,,666,,,"CS-310ES/35","CS-310ES/35",,"ECHO CS-310ES/35 PEROL CHAINSAW 14"" 30CC""","ECHO CS-310ES/35 PEROL CHAINSAW 14"" 30CC""",119.5,136.1,,"4016","GBP",,,,,,"GBP",199.17,"4016","Active","4016 - CHAINSAW","63",,0,0,14,1,1673,2788.38,,,,,,,"CS-310ES/35",,,,,,,,,"",,,,,,
69232,6,"2025-08-01T05:07:39.000Z",666,,777,,,"210/10","210/10",,"SEALEY PROTECTIVE GOOGLES","SEALEY PROTECTIVE GOOGLES",0.4,0.4,,,"GBP",,,,,,"GBP",8.29,"4025","Active",,"24",,0,0,200,1,80,1658,,,,,,,"C-210/10",,,,,,,,,,,752164,,,,
69262,6,"2025-08-01T05:07:39.000Z",666,"2026-01-20T10:40:32.000Z",24305274,,,"2T0052483/CAS","2T0052483/CAS",,"MOUNTFIELD 827M RIDE-ON LAWNMOWER","MOUNTFIELD 827M RIDE-ON LAWNMOWER",702,735.88,,,"GBP",,,,,,"GBP",1440.83,"4011","Active",,"31",,0,0,49,1,34398,70600.67,,,,,,,"C-2T0052483/CAS",,,,,,,,,,,752173,,,,
