"shop-sku";"product-id";"product-id-type";"description";"internal-description";"price";"quantity";"min-quantity-alert";"state-code";"available-start-date";"available-end-date";"discount-price";"discount-start-date";"discount-end-date";"leadtime-to-ship";"update-delete";"logistic-class"
"SBS460CLM";"5065022450634";"EAN";"";"";"259.95";"67";"";"11";"";"";"";"";"";"1";"update";""
"SBS220CHM";"5065022450627";"EAN";"";"";"79.95";"187";"";"11";"";"";"";"";"";"1";"update";""
"SBS460CLM-KIT";"5061122340134";"EAN";"";"";"299.95";"67";"";"11";"";"";"";"";"";"1";"update";""
"SBS220CHM-KIT";"5061122340141";"EAN";"";"";"149.95";"187";"";"11";"";"";"";"";"";"1";"update";""
"SBS480CBV";"5065022450641";"EAN";"";"";"79.95";"188";"";"11";"";"";"";"";"";"1";"update";""
"SBS480CBV-KIT";"5061122340158";"EAN";"";"";"139.95";"188";"";"11";"";"";"";"";"";"1";"update";""
"SBS560CHT";"5065022450658";"EAN";"";"";"74.95";"155";"";"11";"";"";"";"";"";"1";"update";""
"SBS240CPHT";"5065022450665";"EAN";"";"";"84.95";"127";"";"11";"";"";"";"";"";"1";"update";""
"SBS560CHT-KIT";"5061122340165";"EAN";"";"";"139.95";"155";"";"11";"";"";"";"";"";"1";"update";""
"SBS240CPHT-KIT";"5061122340172";"EAN";"";"";"149.95";"127";"";"11";"";"";"";"";"";"1";"update";""
"SBS20CB";"5065022450672";"EAN";"";"";"34.95";"1253";"";"11";"";"";"";"";"";"1";"update";""
"SBS40CB";"5065022450689";"EAN";"";"";"72.75";"882";"";"11";"";"";"";"";"";"1";"update";""
"SBSCBC";"5065022450719";"EAN";"";"";"34.95";"582";"";"11";"";"";"";"";"";"1";"update";""
"SBSCSC";"5065022450696";"EAN";"";"";"34.95";"660";"";"11";"";"";"";"";"";"1";"update";""
"SBSCDC";"5065022450702";"EAN";"";"";"44.95";"564";"";"11";"";"";"";"";"";"1";"update";""
