"shopifyHierarchyId";"sku";"description";"barcode";"image1";"marketingText";"image2";"brand";"baseColour";"countryOfOriginName";"ageRestriction";"unitQuantity";"vatRate";"image3";"image4"
"gid://shopify/TaxonomyCategory/hg-12-3-5-4";"SBS460CLM";"SPECTRUM SBS460CLM 40V Cordless Self-Propelled Lawn Mower, 46cm Cut, Brushless Motor, 7 Cutting Heights (25-75mm), 60L Grass Bag, 4-in-1 Disposal - Bare Tool (Battery & Charger Sold Separately)";"5065022450634";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/SBS460CLM.webp?v=1774280713";"The Spectrum SBS460CLM is a cordless self-propelled lawn mower built for medium-to-large gardens that demand more than a basic push-along. A high-efficiency brushless motor, powered by a dual 40V battery configuration, keeps cutting speed consistent from the first strip to the last - even in thicker grass. The 46cm (18"") steel cutting deck covers ground quickly without compromising finish. Seven cutting heights from 25mm to 75mm adjust in seconds via a single central lever - scalp-close in early spring, a lush longer cut through summer heat. Grass disposal, four ways: rear collection into the 60-litre bag (with a bag-full indicator so there's no guesswork), mulching back into the lawn, rear discharge, or side discharge. Large ball-bearing wheels - 7"" front, 10"" rear - roll smoothly over uneven ground and resist turf damage. This is a bare-tool model. The mower takes two Spectrum 40V lithium-ion batteries, sold separately: SBS20CB (2.0Ah, lighter sessions) or SBS40CB (4.0Ah, longer runtime and consistent voltage under load). Compatible chargers are also sold separately: SBSCBC (standard 0.5A overnight), SBSCSC (fast 2A single bay), or SBSCDC (dual-bay 2A for rotating two batteries through one charger). Part of the Spectrum 40V cordless garden system - share batteries across our hedge trimmers, pole trimmers, and leaf blower vacs. Backed by a 5-year warranty.";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS460CLM-Lawnmower-scaled-e1773826074832.webp?v=1774280713";"Spectrum";"Green";"China";"No";"Each";"20";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-5-4";"SBS220CHM";"SPECTRUM SBS220CHM 40V Cordless Handy Lawn Mower, 22cm Cutting Width, Brushless Motor, 3 Cutting Heights (30-50mm), Mulching, 3.8kg Lightweight - Bare Tool (Battery & Charger Sold Separately)";"5065022450627";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS220CHM-Handy-Mower-Main.webp?v=1774538711";"The Spectrum SBS220CHM is the mower that goes where others can't. Small lawns, awkward corners, tight edges around borders and obstacles - the SBS220CHM is built for exactly these situations. At just 3.8kg, it's one of the lightest cordless mowers you'll find. Despite its compact dimensions, the SBS220CHM doesn't compromise on quality. A high-efficiency brushless motor provides reliable performance, longer battery life per charge, and less ongoing maintenance than a brushed equivalent. Spinning at 6,000rpm, it cuts cleanly and consistently across the cutting height range. Three central height settings from 30mm to 50mm let you adapt to the season and your lawn's condition. The built-in mulching function returns finely chopped clippings directly to the lawn - feeding the soil and eliminating the need to collect and dispose of grass waste. The flexible handle folds down for compact storage, and the balanced weight distribution makes it easy to lift over steps, carry between areas, or store vertically in a shed or cupboard. This is a bare-tool model. The mower takes one Spectrum 40V lithium-ion battery, sold separately: SBS20CB (2.0Ah) or SBS40CB (4.0Ah). Compatible chargers are also sold separately: SBSCBC (standard 0.5A overnight), SBSCSC (fast 2A single bay), or SBSCDC (dual-bay 2A for rotating two batteries through one charger). Part of the Spectrum 40V cordless garden system - share batteries across our hedge trimmers, pole trimmers, and leaf blower vacs. Backed by a 5-year warranty.";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS220CHM-Handy-Mower-Left_1.webp?v=1779338178";"Spectrum";"Green";"China";"No";"Each";"20";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-5-4";"SBS460CLM-KIT";"SPECTRUM SBS460CLM 40V Cordless Self-Propelled Lawn Mower, 46cm Cut, Brushless Motor, 7 Cutting Heights (25-75mm), 60L Bag, Mulch, Complete Kit (2x 4.0Ah Batteries + Dual Fast Charger Included)";"5061122340134";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/SBS460CLM_4488b7a9-01c4-49a9-b9bd-36aa29c2ed65.webp?v=1777187538";"The Spectrum SBS460CLM Complete Kit is everything you need to mow medium-to-large gardens straight out of the box - mower, two 40V 4.0Ah batteries, and a dual-bay fast charger. The SBS460CLM is a cordless self-propelled lawn mower built for medium-to-large gardens that demand more than a basic push-along. A high-efficiency brushless motor, powered by a dual 40V battery configuration, keeps cutting speed consistent from the first strip to the last - even in thicker grass. The 46cm (18"") steel cutting deck covers ground quickly without compromising finish. Seven cutting heights from 25mm to 75mm adjust in seconds via a single central lever - scalp-close in early spring, a lush longer cut through summer heat. Grass disposal, four ways: rear collection into the 60-litre bag (with a bag-full indicator so there's no guesswork), mulching back into the lawn, rear discharge, or side discharge. Large ball-bearing wheels - 7"" front, 10"" rear - roll smoothly over uneven ground and resist turf damage. This kit pairs the mower with 2x SBS40CB 40V 4.0Ah lithium-ion batteries (high-grade 21700 cells, steady voltage through full discharge) and 1x SBSCDC dual-bay fast charger - both ports at 2A, charges a 4.0Ah pack in roughly two hours. Rotate batteries through the charger for continuous work. Part of the Spectrum 40V cordless garden system - share batteries across our hedge trimmers, pole trimmers, and leaf blower vacs. Backed by Spectrum's 5-year warranty.";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS460CLM-Lawnmower-scaled-e1773826074832_6db6bd86-de05-4660-8c1d-4da391888611.webp?v=1777187538";"Spectrum";"Green";"China";"No";"Each";"20";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-5-4";"SBS220CHM-KIT";"SPECTRUM SBS220CHM 40V Cordless Handy Lawn Mower, 22cm Cutting Width, Brushless Motor, 3 Cutting Heights (30-50mm), Mulching, 3.8kg Lightweight - Complete Kit (2.0Ah Battery + Charger Included)";"5061122340141";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS220CHM-Handy-Mower-Main_674e63f2-f328-4486-91d9-00fa04e45f6c.webp?v=1777187556";"The Spectrum SBS220CHM Complete Kit is the small-lawn solution in one box - handy mower, 40V 2.0Ah battery, and standard charger. The SBS220CHM is the mower that goes where others can't. Small lawns, awkward corners, tight edges around borders and obstacles - the SBS220CHM is built for exactly these situations. At just 3.8kg, it's one of the lightest cordless mowers you'll find. Despite its compact dimensions, the SBS220CHM doesn't compromise on quality. A high-efficiency brushless motor provides reliable performance, longer battery life per charge, and less ongoing maintenance than a brushed equivalent. Spinning at 6,000rpm, it cuts cleanly and consistently across the cutting height range. Three central height settings from 30mm to 50mm let you adapt to the season and your lawn's condition. The built-in mulching function returns finely chopped clippings directly to the lawn - feeding the soil and eliminating the need to collect and dispose of grass waste. The flexible handle folds down for compact storage, and the balanced weight distribution makes it easy to lift over steps, carry between areas, or store vertically in a shed or cupboard. This kit includes 1x SBS20CB 40V 2.0Ah lithium-ion battery (high-quality 18650 cells, 710g pocket-sized pack) and 1x SBSCBC standard charger (gentle 0.5A overnight charge - kindest for long-term battery health). Part of the Spectrum 40V cordless garden system - share batteries across our larger lawn mowers, hedge trimmers, pole trimmers, and leaf blower vacs. Backed by Spectrum's 5-year warranty.";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS220CHM-Handy-Mower-Left_ea104ebe-76b9-4a82-84db-c97f598f2d7c.webp?v=1777187556";"Spectrum";"Green";"China";"No";"Each";"20";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-7";"SBS480CBV";"SPECTRUM SBS480CBV 40V Cordless Leaf Blower Vacuum, 3-in-1 Blow/Vac/Mulch, 52m/s Airspeed, 12L Bag, 30:1 Mulch Ratio - Bare Tool (Battery & Charger Sold Separately)";"5065022450641";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS480CBV-Blower-Vac.png?v=1774280722";"The Spectrum SBS480CBV is a 40V cordless blower vacuum that handles three jobs in one tool: blow, vacuum, and mulch. From autumn leaves and post-mow clippings to damp debris in hard-to-reach corners, no cables means no compromise on where you can work. In blower mode, the SBS480CBV generates an air speed of up to 52m/s with an air volume of 264m³/h - enough to shift stubborn wet leaves from paths, patios, and lawn edges in quick, efficient passes. Switch to vacuum mode and the air volume jumps to 588m³/h, pulling debris into the 12-litre collection bag while the built-in 3-blade mulching system shreds it at a 30:1 ratio. A full bag of leaves compresses down to a fraction of its original volume - fewer trips to the compost heap, more time getting on with the job. Weighing just 4.26kg with an adjustable handle, the SBS480CBV stays comfortable during longer sessions. A reliable brush motor delivers consistent airflow without the noise and exhaust of petrol alternatives. This is a bare-tool model. Compatible with all Spectrum 40V lithium-ion batteries, sold separately: SBS20CB (2.0Ah) or SBS40CB (4.0Ah). Compatible chargers are also sold separately: SBSCBC (standard 0.5A overnight), SBSCSC (fast 2A), or SBSCDC (dual-bay 2A). Part of the Spectrum 40V cordless garden system - share batteries across our lawn mowers, hedge trimmers, and pole trimmers. Backed by Spectrum's 5-year warranty.";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS480CBV-Blower-Vac-Left.png?v=1774280722";"Spectrum";"Green";"China";"No";"Each";"20";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-7";"SBS480CBV-KIT";"SPECTRUM 40V Cordless Leaf Blower Vacuum, 3-in-1 Blow/Vac/Mulch, 52m/s Airspeed, 12L Bag, 30:1 Mulch Ratio - Complete Kit with 4.0Ah Battery and Charger Included";"5061122340158";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS480CBV-Blower-Vac_9a50d813-e729-49d9-9466-95fe11fb8a36.png?v=1777187568";"The Spectrum SBS480CBV Complete Kit handles autumn leaves and post-mow tidy-ups in one box - blower vacuum, 40V 4.0Ah battery, and standard charger. The SBS480CBV is a 40V cordless blower vacuum that handles three jobs in one tool: blow, vacuum, and mulch. From autumn leaves and post-mow clippings to damp debris in hard-to-reach corners, no cables means no compromise on where you can work. In blower mode, the SBS480CBV generates an air speed of up to 52m/s with an air volume of 264m³/h - enough to shift stubborn wet leaves from paths, patios, and lawn edges in quick, efficient passes. Switch to vacuum mode and the air volume jumps to 588m³/h, pulling debris into the 12-litre collection bag while the built-in 3-blade mulching system shreds it at a 30:1 ratio. A full bag of leaves compresses down to a fraction of its original volume - fewer trips to the compost heap, more time getting on with the job. Weighing just 4.26kg with an adjustable handle, the SBS480CBV stays comfortable during longer sessions. A reliable brush motor delivers consistent airflow without the noise and exhaust of petrol alternatives. This kit includes 1x SBS40CB 40V 4.0Ah lithium-ion battery (high-grade 21700 cells, steady voltage through full discharge - the right pack for higher-draw tools like blower vacs) and 1x SBSCBC standard charger (gentle 0.5A overnight charge). Part of the Spectrum 40V cordless garden system - share batteries across our lawn mowers, hedge trimmers, and pole trimmers. Backed by Spectrum's 5-year warranty.";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS480CBV-Blower-Vac-Left_99950245-2693-4e97-a9ba-0054f76d9399.png?v=1777187568";"Spectrum";"Green";"China";"No";"Each";"20";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-3";"SBS560CHT";"SPECTRUM SBS560CHT 40V Cordless Hedge Trimmer, 45cm Laser-Cut Blade, Brushless Motor, 2,600 Cuts/Min, 18mm Capacity, 90 Rotating Handle - Bare Tool (Battery & Charger Sold Separately)";"5065022450658";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS560CHT-Cordless-Hedge-Trimmer-Main.webp?v=1774538712";"Neat hedges don't have to mean hard work. The Spectrum SBS560CHT cordless hedge trimmer combines a powerful brushless motor with a precision laser-cut blade for clean, professional-looking results with minimal fatigue. The brushless motor is a meaningful upgrade over brush-motor alternatives - it runs more efficiently, generates less heat, lasts longer between services, and extracts more runtime from each battery charge. At 2,600 cuts per minute, the 45cm cutting blade moves through foliage quickly, keeping trimming sessions short and results consistent. With an 18mm cutting capacity, the SBS560CHT handles the thicker, woodier growth found in established hedges without stalling or snagging. The 90 rotating handle is a genuine practical feature - it lets you switch between horizontal top cuts and vertical face cuts without adjusting your stance or grip, reducing strain on wrists and shoulders during longer sessions. At just 2.91kg, it's light enough to hold overhead comfortably for as long as the job demands, and the 40V Spectrum battery platform means it shares power with your other Spectrum cordless tools. This is a bare-tool model. Compatible with all Spectrum 40V lithium-ion batteries, sold separately: SBS20CB (2.0Ah) or SBS40CB (4.0Ah). Compatible chargers are also sold separately: SBSCBC (standard 0.5A overnight), SBSCSC (fast 2A), or SBSCDC (dual-bay 2A). Part of the Spectrum 40V cordless garden system - share batteries across our lawn mowers, pole trimmers, and leaf blower vacs. Backed by Spectrum's 5-year warranty.";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS560CHT-Cordless-Hedge-Trimmer-Left.webp?v=1774538712";"Spectrum";"Green";"China";"No";"Each";"20";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-3";"SBS240CPHT";"SPECTRUM SBS240CPHT 40V Cordless Pole Hedge Trimmer, 2.4m Reach, 46cm Dual-Action Laser-Cut Blade, 180 Adjustable Head, 18mm Capacity - Bare Tool (Battery & Charger Sold Separately)";"5065022450665";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS240CPHT-Pole-Hedge-Trimmer-Main.webp?v=1774280722";"Tall hedges and high-sided borders are no match for the Spectrum SBS240CPHT cordless pole hedge trimmer. With a total reach of 2.4 metres and a 180 adjustable cutting head, it handles the angles that ladders and standard trimmers can't - safely, from the ground. The 46cm dual-action, laser-cut blade runs at 2,600 strokes per minute, slicing through branches up to 18mm thick with clean, precise cuts that promote healthy regrowth. Whether you're trimming horizontally along the top of a hedge or working vertically down the face, the rotating head gives you the position you need without awkward repositioning. Power comes from Spectrum's 40V lithium-ion battery system. The reliable brush motor maintains consistent cutting speed throughout the charge, and at just 3.62kg the tool stays well-balanced and fatigue-free even on longer hedgerows. This is a bare-tool model. Compatible with all Spectrum 40V lithium-ion batteries, sold separately: SBS20CB (2.0Ah) or SBS40CB (4.0Ah). Compatible chargers are also sold separately: SBSCBC (standard 0.5A overnight), SBSCSC (fast 2A), or SBSCDC (dual-bay 2A). Part of the Spectrum 40V cordless garden system - share batteries across our lawn mowers, hedge trimmers, and leaf blower vacs. Backed by Spectrum's 5-year manufacturer's warranty.";"";"Spectrum";"Green";"China";"No";"Each";"20";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-3";"SBS560CHT-KIT";"SPECTRUM SBS560CHT 40V Cordless Hedge Trimmer, 45cm Laser-Cut Blade, Brushless Motor, 2,600 Cuts/Min, 18mm Capacity, 90 Rotating Handle - Complete Kit (2.0Ah Battery + Charger Included)";"5061122340165";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS560CHT-Cordless-Hedge-Trimmer-Main_a5c36637-6ced-43ff-9370-57c00e5ea470.webp?v=1777187551";"The Spectrum SBS560CHT Complete Kit is everything you need for neat hedges in one box - hedge trimmer, 40V 2.0Ah battery, and standard charger. Neat hedges don't have to mean hard work. The SBS560CHT cordless hedge trimmer combines a powerful brushless motor with a precision laser-cut blade for clean, professional-looking results with minimal fatigue. The brushless motor is a meaningful upgrade over brush-motor alternatives - it runs more efficiently, generates less heat, lasts longer between services, and extracts more runtime from each battery charge. At 2,600 cuts per minute, the 45cm cutting blade moves through foliage quickly, keeping trimming sessions short and results consistent. With an 18mm cutting capacity, the SBS560CHT handles the thicker, woodier growth found in established hedges without stalling or snagging. The 90 rotating handle lets you switch between horizontal top cuts and vertical face cuts without adjusting your stance or grip - reducing strain on wrists and shoulders during longer sessions. At just 2.91kg, it's light enough to hold overhead comfortably for as long as the job demands. This kit includes 1x SBS20CB 40V 2.0Ah lithium-ion battery (high-quality 18650 cells, 710g pocket-sized pack - the natural fit for lighter cordless tools) and 1x SBSCBC standard charger (gentle 0.5A overnight charge). Part of the Spectrum 40V cordless garden system - share batteries across our lawn mowers, pole trimmers, and leaf blower vacs. Backed by Spectrum's 5-year warranty.";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS560CHT-Cordless-Hedge-Trimmer-Left_4063a005-5bdf-4e0c-b5d5-09fe4facd7f9.webp?v=1777187552";"Spectrum";"Green";"China";"No";"Each";"20";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-3";"SBS240CPHT-KIT";"SPECTRUM SBS240CPHT 40V Cordless Pole Hedge Trimmer, 2.4m Reach, 46cm Dual-Action Laser-Cut Blade, 180 Adjustable Head, 18mm Capacity - Complete Kit (4.0Ah Battery + Charger Included)";"5061122340172";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS240CPHT-Pole-Hedge-Trimmer-Main_8d207719-c55d-4bb4-8d58-895e89eb4db6.webp?v=1777187561";"The Spectrum SBS240CPHT Complete Kit is everything you need to tackle tall hedges from the ground - pole trimmer, 40V 4.0Ah battery, and standard charger. Tall hedges and high-sided borders are no match for the SBS240CPHT cordless pole hedge trimmer. With a total reach of 2.4 metres and a 180 adjustable cutting head, it handles the angles that ladders and standard trimmers can't - safely, from the ground. The 46cm dual-action, laser-cut blade runs at 2,600 strokes per minute, slicing through branches up to 18mm thick with clean, precise cuts that promote healthy regrowth. Whether you're trimming horizontally along the top of a hedge or working vertically down the face, the rotating head gives you the position you need without awkward repositioning. Power comes from Spectrum's 40V lithium-ion battery system. The reliable brush motor maintains consistent cutting speed throughout the charge, and at just 3.62kg the tool stays well-balanced and fatigue-free even on longer hedgerows. This kit includes 1x SBS40CB 40V 4.0Ah lithium-ion battery (high-grade 21700 cells, steady voltage through full discharge - the right pack for sustained pole trimmer sessions) and 1x SBSCBC standard charger (gentle 0.5A overnight charge). Part of the Spectrum 40V cordless garden system - share batteries across our lawn mowers, hedge trimmers, and leaf blower vacs. Backed by Spectrum's 5-year warranty.";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS240CPHT-Pole-Hedge-Trimmer-Main_8d207719-c55d-4bb4-8d58-895e89eb4db6.png?v=1779522930";"Spectrum";"Green";"China";"No";"Each";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS240CPHT-Pole-Hedge-Trimmer-Main_a610cd28-8ff5-4331-9e07-eaa4de679b5f.png?v=1779523045";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-SBS240CPHT-Pole-Hedge-Trimmer-Main_e25db854-7754-43ad-ab19-b1cacc755150.png?v=1779523157"
