shopify_sku,source,shopify_title
2T2010483/M25,matches_csv_non_spectrum,Mountfield 1330M Gear Drive 2-in-1 Lawn Tractor
2T2010483/M25,matches_csv_non_spectrum,Mountfield T30M Gear Drive 2-in-1 Lawn Tractor
MF-827M,matches_csv_non_spectrum,Mountfield 827M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive
2T0980473/C22,matches_csv_non_spectrum,Castel Garden PTX 210 HD Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
ECH-CS-621SX,matches_csv_non_spectrum,Echo CS-621SX Petrol Chainsaw (50cm Guide Bar)
HRX476QY,matches_csv_non_spectrum,Honda HRX 476 QY Self-Propelled Rear Roller Petrol Lawn Mower
2T1315481/ST1,matches_csv_non_spectrum,Stiga Estate 7122 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
XHT-240,matches_csv_non_spectrum,Castel Garden XHT 240 4 Wheel-Drive Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
C-T92H,matches_csv_non_spectrum,Harry T92H Rear-Collect Lawn Tractor with Hydrostatic Transmission
HF-2417-HTE,matches_csv_non_spectrum,Honda HF 2417 HTE Premium Garden Tractor
T84H,matches_csv_non_spectrum,Harry T84H Rear-Collect Lawn Tractor with Hydrostatic Drive
C-HF2417HME,matches_csv_non_spectrum,HF 2417 HME Premium Lawn Tractor with Versamow® Mulching
SIMP-SYT410,matches_csv_non_spectrum,Simplicity Broadmoor SYT410 Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive & Lawn-Striping Rollers
C-HRTF220,matches_csv_non_spectrum,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator
C-2691696,matches_csv_non_spectrum,Simplicity Courier™ SZT350 Zero-Turn Ride-On Mower
HRM-1500BC,matches_csv_non_spectrum,HONDA HRM 1500BC Live Miimo Robotic Lawnmower
C-TG40SE-AMZ,matches_csv_non_spectrum,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start (Amazon)
RAC139PTIL,matches_csv_non_spectrum,Racing 139PTIL63 Petrol Front-Tine Tiller
MF-2T0515403/CAS,matches_csv_non_spectrum,Mountfield MTF 98M SD Side-Discharge Lawn Tractor with Manual Drive
