product_id,product_title,all_variant_skus,matched_andrew_skus,contributing_skus,tags_before,action,error
gid://shopify/Product/8321692631207,Stiga E440 48v/4Ah ePower Lithium-Ion Battery 274014004/ST1,274014004/ST1,,274014004/ST1,Spring Sale,would_untag,
gid://shopify/Product/8320807174311,Mountfield Princess 38 Li KIT 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger),294386063/M26,,294386063/M26,"Battery-Powered Cordless Lawnmowers, Cordless Garden Machines & Power Tools, Cordless Lawnmowers, Mountfield, Mountfield Battery Powered Lawnmowers, Mountfield Cordless Battery Lawnmowers, Mountfield Freedom 48 Cordless Garden System, Spring Sale",would_untag,
gid://shopify/Product/8321328152743,Mountfield SP46 Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),2L0486038/M19,,2L0486038/M19,"Lawnmowers Powered by Honda, Mountfield, Mountfield Petrol Lawnmowers, Mountfield Self-Propelled Lawn Mowers, Self-Propelled 4-Wheel Petrol Lawnmower Deals, Spring Sale",would_untag,
gid://shopify/Product/8321662681255,Mountfield SP53 Self-Propelled 3-in-1 Petrol Lawnmower,2L0536048/M21,,2L0536048/M21,"Mountfield Self-Propelled Lawn Mowers, Self-Propelled 4-Wheel Petrol Lawnmower Deals, Spring Sale",would_untag,
gid://shopify/Product/8321122861223,Stiga Tornado 9121 W Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive,2T1950381/ST1,2T1950381/ST1,2T1950381/ST1,"Best Garden Tractor Deals, Best Mulching Garden Tractors, Garden Tractor Deals, Spring Sale, Stiga Garden Tractors, Stiga Lawn & Garden Tractors",keep_tagged,
gid://shopify/Product/8321730379943,Atco Liner 16S Li KIT 48v Cordless Self-Propelled Roller Lawnmower (Inc. Batteries & Charger),AT-299439077/AT1,,AT-299439077/AT1,"Atco, Battery-Powered Cordless Lawnmowers, Best Cordless Battery Lawnmower Deals, Spring Sale",would_untag,
gid://shopify/Product/8321730478247,Atco Liner 18S Li KIT 48v Cordless Self-Propelled Roller Lawnmower (Inc. Batteries & Charger),AT-299489077/AT1,,AT-299489077/AT1,"Atco, Battery-Powered Cordless Lawnmowers, Best Cordless Battery Lawnmower Deals, Spring Sale",would_untag,
gid://shopify/Product/8321732018343,Atco GT 30H Rear-Collect Lawn Tractor with Hydrostatic Drive,AT-2T2110447/AT2,AT-2T2110447/AT2,AT-2T2110447/AT2,"Atco, Best Rear Collect Lawn Tractors, Garden Machinery For Next Day Delivery, Lawn Tractor Deals, Lawn Tractors, Spring Sale",keep_tagged,
gid://shopify/Product/15619996778869,**SHOP SOILED** Atco GT 30H Rear-Collect Lawn Tractor with Hydrostatic Drive,AT-2T2110447/AT2,AT-2T2110447/AT2,AT-2T2110447/AT2,"Atco, Best Rear Collect Lawn Tractors, Garden Machinery For Next Day Delivery, Lawn Tractor Deals, Lawn Tractors, Spring Sale",keep_tagged,
gid://shopify/Product/8321732247719,Atco GT 38H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,AT-2T2630447/AT2,AT-2T2630447/AT2,AT-2T2630447/AT2,"Atco, Best Garden Tractor Deals, Best Rear Collect Garden Tractors, Garden Machinery For Next Day Delivery, Garden Tractor Deals, Garden Tractors, Spring Sale, Winter Sale",keep_tagged,
gid://shopify/Product/8321736147111,Atco Liner 19SH V Variable-Speed Petrol Rear-Roller Lawnmower (Honda Engine),C-294519037/AT1,,C-294519037/AT1,"Atco, Best Petrol Lawmower Deals, Garden Machinery For Next Day Delivery, Petrol Rear-Roller Rotary Lawnmowers, Petrol Roller Lawnmower Deals, Spring Sale, Twinclip Roller Range",would_untag,
gid://shopify/Product/8321736048807,Atco Liner 22SH V Variable-Speed Petrol Rear-Roller Lawnmower (Honda Engine),C-294569037/AT1,,C-294569037/AT1,"Atco, Best Petrol Lawmower Deals, Best Self Propelled Rear Roller Petrol Lawnmowers, Best Variable Speed Rear Roller Petrol Lawnmowers, Garden Machinery For Next Day Delivery, Petrol Rear-Roller Rotary Lawnmowers, Petrol Roller Lawnmower Deals, Spring Sale",would_untag,
gid://shopify/Product/14978351923573,Atco Liner 16S Self-Propelled Petrol Rear-Roller Lawnmower,C-299439047/AT1,,C-299439047/AT1,"Atco, Best Push Rear Roller Petrol Lawnmowers, Lawn Mowers, Petrol Rear-Roller Rotary Lawnmowers, Petrol Roller Lawnmower Deals, Spring Sale",would_untag,
gid://shopify/Product/15084256362869,Atco Liner 18SH Self-Propelled Petrol Rear-Roller Lawnmower,C-299489037/AT9,,C-299489037/AT9,Spring Sale,would_untag,
gid://shopify/Product/8321563066535,Stiga Estate 598 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,C-2T2630481/ST2,,C-2T2630481/ST2,"Best Garden Tractor Deals, Best Mulching Garden Tractors, Garden Tractor Deals, Spring Sale, Stiga Garden Tractors, Stiga Lawn & Garden Tractors",would_untag,
gid://shopify/Product/8321665630375,Mountfield C 215 DU 20v Freedom 100 Dual Standard Charger,MF-271021100/21,,MF-271021100/21,Spring Sale,would_untag,
