product_id,product_title,handle,existing_tags,contributing_skus,already_tagged,action,error
gid://shopify/Product/8321692631207,Stiga E440 48v/4Ah ePower Lithium-Ion Battery 274014004/ST1,stiga-b440-48v-4ah-epower-lithium-ion-battery,,274014004/ST1,no,would_tag,
gid://shopify/Product/8320807174311,Mountfield Princess 38 Li KIT 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger),mountfield-princess-38-li-48v-38cm-cordless-battery-powered-4-wheel-rear-roller-lawnmower,"Battery-Powered Cordless Lawnmowers, Cordless Garden Machines & Power Tools, Cordless Lawnmowers, Mountfield, Mountfield Battery Powered Lawnmowers, Mountfield Cordless Battery Lawnmowers, Mountfield Freedom 48 Cordless Garden System",294386063/M26,no,would_tag,
gid://shopify/Product/8321328152743,Mountfield SP46 Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),mountfield-sp46-elite-145cc-46cm-3-in-1-self-propelled-petrol-lawnmower-with-honda-engine,"Lawnmowers Powered by Honda, Mountfield, Mountfield Petrol Lawnmowers, Mountfield Self-Propelled Lawn Mowers, Self-Propelled 4-Wheel Petrol Lawnmower Deals",2L0486038/M19,no,would_tag,
gid://shopify/Product/8321662681255,Mountfield SP53 Self-Propelled 3-in-1 Petrol Lawnmower,mountfield-sp53-elite-self-propelled-3-in-1-petrol-lawnmower-1,"Mountfield Self-Propelled Lawn Mowers, Self-Propelled 4-Wheel Petrol Lawnmower Deals",2L0536048/M21,no,would_tag,
gid://shopify/Product/8321122861223,Stiga Tornado 9121 W Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive,stiga-tornado-9121-w-688cc-121cm-twin-cylinder-side-discharge-garden-tractor-with-hydrostatic-drive,"Best Garden Tractor Deals, Best Mulching Garden Tractors, Garden Tractor Deals, Stiga Garden Tractors, Stiga Lawn & Garden Tractors",2T1950381/ST1,no,would_tag,
gid://shopify/Product/8321730379943,Atco Liner 16S Li KIT 48v Cordless Self-Propelled Roller Lawnmower (Inc. Batteries & Charger),atco-liner-16s-li-kit-48v-1500w-41cm-cordless-self-propelled-rear-roller-lawnmower-including-2-x-batteries-and-charger,"Atco, Battery-Powered Cordless Lawnmowers, Best Cordless Battery Lawnmower Deals",AT-299439077/AT1,no,would_tag,
gid://shopify/Product/8321730478247,Atco Liner 18S Li KIT 48v Cordless Self-Propelled Roller Lawnmower (Inc. Batteries & Charger),https-www-mowdirect-co-uk-atco-liner-18s-li-kit-48v-1500w-cordless-self-propelled-rear-roller-lawnmower-including-2-x-batteries-and-charger-html,"Atco, Battery-Powered Cordless Lawnmowers, Best Cordless Battery Lawnmower Deals",AT-299489077/AT1,no,would_tag,
gid://shopify/Product/8321732018343,Atco GT 30H Rear-Collect Lawn Tractor with Hydrostatic Drive,atco-gt-30h-432cc-84cm-rear-collect-twin-blade-lawn-tractor-with-hydrostatic-drive,"Atco, Best Rear Collect Lawn Tractors, Garden Machinery For Next Day Delivery, Lawn Tractor Deals, Lawn Tractors",AT-2T2110447/AT2,no,would_tag,
gid://shopify/Product/15619996778869,**SHOP SOILED** Atco GT 30H Rear-Collect Lawn Tractor with Hydrostatic Drive,shop-soiled-atco-gt-30h-rear-collect-lawn-tractor-with-hydrostatic-drive,"Atco, Best Rear Collect Lawn Tractors, Garden Machinery For Next Day Delivery, Lawn Tractor Deals, Lawn Tractors",AT-2T2110447/AT2,no,would_tag,
gid://shopify/Product/8321732247719,Atco GT 38H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,atco-gt-38h-98cm-586cc-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive,"Atco, Best Garden Tractor Deals, Best Rear Collect Garden Tractors, Garden Machinery For Next Day Delivery, Garden Tractor Deals, Garden Tractors, Winter Sale",AT-2T2630447/AT2,no,would_tag,
gid://shopify/Product/8321736147111,Atco Liner 19SH V Variable-Speed Petrol Rear-Roller Lawnmower (Honda Engine),atco-liner-19sh-v-167cc-48cm-variable-speed-petrol-rear-roller-lawnmower-with-honda-engine,"Atco, Best Petrol Lawmower Deals, Garden Machinery For Next Day Delivery, Petrol Rear-Roller Rotary Lawnmowers, Petrol Roller Lawnmower Deals, Twinclip Roller Range",C-294519037/AT1,no,would_tag,
gid://shopify/Product/8321736048807,Atco Liner 22SH V Variable-Speed Petrol Rear-Roller Lawnmower (Honda Engine),atco-liner-22sh-v-201cc-53cm-variable-speed-petrol-rear-roller-lawnmower-honda-engine,"Atco, Best Petrol Lawmower Deals, Best Self Propelled Rear Roller Petrol Lawnmowers, Best Variable Speed Rear Roller Petrol Lawnmowers, Garden Machinery For Next Day Delivery, Petrol Rear-Roller Rotary Lawnmowers, Petrol Roller Lawnmower Deals",C-294569037/AT1,no,would_tag,
gid://shopify/Product/14978351923573,Atco Liner 16S Self-Propelled Petrol Rear-Roller Lawnmower,mountfield-s421r-pd-self-propelled-petrol-rear-roller-lawnmower-copy,"Atco, Best Push Rear Roller Petrol Lawnmowers, Lawn Mowers, Petrol Rear-Roller Rotary Lawnmowers, Petrol Roller Lawnmower Deals",C-299439047/AT1,no,would_tag,
gid://shopify/Product/15084256362869,Atco Liner 18SH Self-Propelled Petrol Rear-Roller Lawnmower,atco-liner-18sh-self-propelled-petrol-rear-roller-lawnmower,,C-299489037/AT9,no,would_tag,
gid://shopify/Product/8321563066535,Stiga Estate 598 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,stiga-estate-598-w-586cc-98cm-twin-cylinder-rear-collect-garden-tractor-with-hydrostatic-drive,"Best Garden Tractor Deals, Best Mulching Garden Tractors, Garden Tractor Deals, Stiga Garden Tractors, Stiga Lawn & Garden Tractors",C-2T2630481/ST2,no,would_tag,
gid://shopify/Product/8321665630375,Mountfield C 215 DU 20v Freedom 100 Dual Standard Charger,mountfield-c-215-du-20v-freedom-100-dual-standard-battery-charger,,MF-271021100/21,no,would_tag,
gid://shopify/Product/8321631256743,Mountfield MTR 20 Li KIT 20v Cordless Grass-Trimmer (Inc. Battery & Charger),mountfield-mtr-20-li-20v-cordless-battery-powered-grass-trimmer,"Cordless Garden Machines & Power Tools, Cordless Handheld Garden Machines, Mountfield Cordless Brushcutters & Grass-Trimmers, Mountfield Grass Trimmers & Brushcutters",MF-271102203/MUK,no,would_tag,
gid://shopify/Product/8321630109863,Mountfield MHT 20 Li KIT 20v Cordless Hedgetrimmer (Inc. Battery & Charger),mountfield-mht-20-li-cordless-hedgetrimmer,"Battery-Powered Cordless Hedgetrimmers, Cordless Garden Machines & Accessories, Cordless Garden Machines & Power Tools, Cordless Handheld Garden Machines, Mountfield Hedgetrimmers, Winter Garden Care",MF-271302203/MUK,no,would_tag,
gid://shopify/Product/8321629749415,Mountfield MAB 20 Li Cordless Leaf-Blower,mountfield-mab-20-li-cordless-leaf-blower,"Blower & Vacs | MowDirect Black Friday Garden Deals, Cordless Garden Machines & Accessories, Cordless Garden Machines & Power Tools, Cordless Handheld Garden Machines, Hand Held Garden Blower-Vac Deals, Mountfield Hand-Held Blower-Vacs, Winter Garden Care",MF-271504203/MUK,no,would_tag,
gid://shopify/Product/8321631027367,"Mountfield MMT 20 Li KIT 20v Cordless Multi-Tool (Inc, Battery & Charger)",mountfield-mmt-20-li-20v-2-in-1-cordless-battery-powered-multi-tool,"Battery-Powered Cordless Hedgetrimmers, Cordless Battery Chainsaws, Cordless Garden Machines & Power Tools, Cordless Handheld Garden Machines, Garden Multi-Tool Sets, Long-Reach Hedgecutters & Hedgetrimmers, Mountfield Chainsaws & Pole Pruners, Mountfield Hedgetrimmers, Tree Pruners",MF-271724203/MUK,no,would_tag,
gid://shopify/Product/8321626603687,Mountfield B440 48v/4Ah Freedom 500 Lithium-Ion Battery,mountfield-b440-48v-4ah-freedom-500-lithium-ion-battery,,MF-274014004/ST1,no,would_tag,
gid://shopify/Product/8321734049959,Mountfield TR 425 HJ 4-Stroke Curved-Shaft Petrol Grass-Trimmer (Honda Engine),mountfield-tr-425-hj-4-stroke-curved-shaft-petrol-grass-trimmer,"Mountfield Brushcutters & Line Trimmers, Mountfield Grass Trimmers & Brushcutters, Petrol Brushcutter Deals",MF-281210003/21,no,would_tag,
gid://shopify/Product/8321732739239,Mountfield BC 425 HJ 4-Stroke Petrol Brushcutter (Honda Engine),mountfield-bc-425-hj-25cc-4-stroke-loop-handle-petrol-brushcutter,"Best Loop & Bar Handle Petrol Brushcutters & Line Trimmers, Mountfield Brushcutters & Line Trimmers, Mountfield Grass Trimmers & Brushcutters, Petrol Brushcutter Deals",MF-281220003/21,no,would_tag,
gid://shopify/Product/8321733230759,Mountfield BC 425 HD 4-Stroke Petrol Brushcutter (Honda Engine),mountfield-bc-425-hd-25cc-4-stroke-double-handle-petrol-brushcutter,"Best Loop & Bar Handle Petrol Brushcutters & Line Trimmers, Mountfield Brushcutters & Line Trimmers, Mountfield Grass Trimmers & Brushcutters, Petrol Brushcutter Deals",MF-281221003/21,no,would_tag,
gid://shopify/Product/8321733525671,Mountfield BC 435 H 4-Stroke Petrol Brushcutter (Honda Engine),mountfield-bc-435-h-35cc-4-stroke-loop-handle-petrol-brushcutter,"Best Loop & Bar Handle Petrol Brushcutters & Line Trimmers, Mountfield Brushcutters & Line Trimmers, Mountfield Grass Trimmers & Brushcutters, Petrol Brushcutter Deals",MF-281320003/21,no,would_tag,
gid://shopify/Product/8321733329063,Mountfield BC 435 HD 4-Stroke Petrol Brushcutter (Honda Engine),mountfield-bc-435-hd-35cc-4-stroke-double-handle-petrol-brushcutter,"Best Loop & Bar Handle Petrol Brushcutters & Line Trimmers, Mountfield Brushcutters & Line Trimmers, Mountfield Grass Trimmers & Brushcutters, Petrol Brushcutter Deals",MF-281321003/21,no,would_tag,
gid://shopify/Product/8321733656743,Mountfield BC 450 H 4-Stroke Petrol Brushcutter (Honda Engine),mountfield-bc-450-h-50cc-4-stroke-loop-handle-petrol-brushcutter,"Best Loop & Bar Handle Petrol Brushcutters & Line Trimmers, Mountfield Brushcutters & Line Trimmers, Mountfield Grass Trimmers & Brushcutters, Petrol Brushcutter Deals",MF-281520003/21,no,would_tag,
gid://shopify/Product/8321733951655,Mountfield BC 450 HD 4-Stroke Petrol Brushcutter (Honda Engine),mountfield-bc-450-hd-50cc-4-stroke-double-handle-petrol-brushcutter,"Best Loop & Bar Handle Petrol Brushcutters & Line Trimmers, Mountfield Brushcutters & Line Trimmers, Mountfield Grass Trimmers & Brushcutters, Petrol Brushcutter Deals",MF-281521003/21,no,would_tag,
gid://shopify/Product/8321059455143,Mountfield MMT 2605 5-in-1 Petrol Multi-Tool,mountfield-mmt-2605-5-in-1-petrol-multi-tool,"Garden Multi-Tool Sets, Mountfield Brushcutters & Line Trimmers, Mountfield Petrol Multi-Tool Set",MF-287120153/M16,no,would_tag,
gid://shopify/Product/8321625915559,Mountfield Electress 30 Li 20v Hand-Propelled Cordless Lawnmower (Inc. Battery & Charger),mountfield-electress-30li-20v-30cm-hand-propelled-cordless-battery-powered-lawnmower,"Battery-Powered Cordless Lawnmowers, Cordless Garden Machines & Power Tools, Cordless Lawnmowers, Mountfield, Mountfield Cordless Battery Lawnmowers, Mountfield Lawnmowers",MF-291302063/M21,no,would_tag,
gid://shopify/Product/8321626046631,Mountfield Electress 34 Li KIT 20v Hand-Propelled Cordless Lawnmower (Inc. Batteries & Charger),mountfield-electress-34li-20v-34cm-hand-propelled-cordless-battery-powered-lawnmower,"Battery-Powered Cordless Lawnmowers, Cordless Garden Machines & Power Tools, Cordless Lawnmowers, Mountfield, Mountfield Cordless Battery Lawnmowers, Mountfield Lawnmowers",MF-291342063/M21,no,would_tag,
gid://shopify/Product/8321626243239,Mountfield Electress 38 Li KIT 20v Hand-Propelled Cordless Lawnmower (Inc. Batteries & Charger),mountfield-electress-38li-38cm-hand-propelled-cordless-battery-powered-lawnmower,"Battery-Powered Cordless Lawnmowers, Cordless Garden Machines & Power Tools, Cordless Lawnmowers, Mountfield, Mountfield Cordless Battery Lawnmowers, Mountfield Lawnmowers",MF-291382063/M21,no,would_tag,
gid://shopify/Product/8321625784487,Mountfield Empress 46 Li KIT 4-in-1 Self-Propelled Cordless Lawnmower (Inc. 2 x Batteries & Charger),mountfield-empress-46-li-kit-48v-46cm-4-in-1-self-propelled-cordless-battery-powered-lawnmower,"Battery-Powered Cordless Lawnmowers, Cordless Garden Machines & Power Tools, Cordless Lawnmowers, Mountfield, Mountfield Cordless Battery Lawnmowers, Mountfield Lawnmowers",MF-299489073/M22,no,would_tag,
gid://shopify/Product/14873206882677,Mountfield 1328H Compact Rear-Collect Ride-On Mower with Hydrostatic Drive,mountfield-1328h-compact-rear-collect-ride-on-mower-with-hydrostatic-drive,"Black Friday, Black Friday 2019, Mountfield Rear Engine Riders, Mountfield Ride On Mowers, Mountfield Ride-On Mowers & Lawn Tractors, Ride On Mowers and Garden Tractors, Ride-on Mower Deals",MF-2T0210483/M22,no,would_tag,
