product_id,product_title,handle,existing_tags,contributing_skus,already_tagged,action,error
gid://shopify/Product/15664594747765,Mountfield 1330M Gear Drive 2-in-1 Lawn Tractor,mountfield-1330m-lawn-tractor,"Best Garden Tractor Deals, Best Lawn Tractor Deals, Best Rear Collect Garden Tractors, Garden Tractor Deals, Homepage Recommendations, Lawn Tractor Deals, Lawn Tractors | MowDirect Black Friday Garden Deals, Winter Sale",2T2010483/M25,no,would_tag,
gid://shopify/Product/15874276065653,Mountfield T30M Gear Drive 2-in-1 Lawn Tractor,mountfield-t30m-lawn-tractor,"Best Garden Tractor Deals, Best Lawn Tractor Deals, Best Rear Collect Garden Tractors, Garden Tractor Deals, Homepage Recommendations, Lawn Tractor Deals, Lawn Tractors | MowDirect Black Friday Garden Deals, Winter Sale",2T2010483/M25,no,would_tag,
gid://shopify/Product/14873208357237,Mountfield 827M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,mountfield-827m-compact-rear-collect-side-discharge-ride-on-mower-with-manual-drive,"Beat the Spring Rush, Best Rear Collect Ride-On Mowers, Chipperfield, Lawn Tractors / Ride on Mowers, Machinery For Immediate Delivery, Machinery For Next Day Delivery, Meet our Gardening Super-Stars..., Mountfield, Mountfield Best-Selling Ride-Ons Mowers & Lawn Tractors, Mountfield Lawn Tractors - T30M, Mountfield Rear Engine Riders, Mountfield Ride On Mowers, Mountfield Ride-On Mowers & Lawn Tractors, Mountfield Tractors, Ride On Lawnmowers, Ride On Mowers, Ride On Mowers and Garden Tractors, Ride-on Mowers Best Sellers, T38M and T38MSD, Top 50 Gifts, Top Finance Deals, Top Ride-On Lawnmowers - Lowest Prices Online!, Winter Sale",MF-827M,no,would_tag,
gid://shopify/Product/15664535142773,Castel Garden PTX 210 HD Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,castel-garden-ptx-210-hd-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive,"Garden Tractor Deals, Mountfield Garden Tractors, Mountfield Ride On Mowers, Mountfield Ride-On Mowers & Lawn Tractors",2T0980473/C22,no,would_tag,
gid://shopify/Product/8321735852199,Spectrum DC24-4 Ultra-Compact Rear-Collect/Side-Discharge Ride-On Mower with Manual Drive,spectrum-dc24-4-224cc-61cm-ultra-compact-rear-collect-side-discharge-ride-on-mower-with-manual-drive,"Spectrum Lawnmowers, Winter Sale",DC24-4,no,would_tag,
gid://shopify/Product/15833926795637,Spectrum SBS40CB 40V 4.0Ah Lithium-Ion Battery Pack,spectrum-sbs40cb-40v-4-0ah-lithium-ion-battery-pack,,SBS40CB,no,would_tag,
gid://shopify/Product/15664557392245,Spectrum TG561-SWT Self Propelled Wheeled Trimmer,spectrum-tg-561-swt-self-propelled-wheel-trimmer,Winter Sale,TG561-SWT,no,would_tag,
gid://shopify/Product/15424789250421,"Spectrum TG56-Pro Variable Speed, Honda Engine, Petrol Lawnmower - 4 Blade",spectrum-tg56-pro-variable-speed-honda-engine-petrol-lawnmower,Winter Sale,TG56-PRO,no,would_tag,
gid://shopify/Product/14972589801845,Spectrum TG48-PRO Honda Powered Petrol Self Propelled Lawnmower - 4 blade,spectrum-tg48-pro-petrol-lawnmower,Winter Sale,TG48-PRO,no,would_tag,
gid://shopify/Product/8321731100839,Spectrum TG51SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start,spectrum-tg51se-173cc-51cm-self-propelled-petrol-lawnmower-with-push-button-electric-start,"Garden Machinery For Next Day Delivery, Spectrum, Spectrum Lawnmowers, Winter Sale",TG51SE,no,would_tag,
