product_id,product_title,variant_id,shopify_sku,inventory_quantity,action
gid://shopify/Product/15729770168693,"Spectrum DCT38M-RDM  38"" Lawn Tractor with Manual Drive",gid://shopify/ProductVariant/56762432029045,DCT38M-RDM,0,would_untrack
gid://shopify/Product/15712740278645,"Spectrum DCT38H 38"" Lawn Tractor with Hydrostatic Drive",gid://shopify/ProductVariant/56704165806453,DCT38H,0,would_untrack
gid://shopify/Product/15701079425397,Spectrum KT400-3 Pro 3-in-1 Petrol Lawn Scarifier/Aerator/Sweeper-Groomer,gid://shopify/ProductVariant/56646077841781,KT400-3 PRO,0,would_untrack
gid://shopify/Product/15656024047989,Spectrum TY31506 Collection Box,gid://shopify/ProductVariant/56429648806261,TY31506,0,would_untrack
gid://shopify/Product/15634662424949,Spectrum Qingain QG18P Hand Propelled Petrol Lawnmower - WITH FREE BLADE WORTH £24.95!,gid://shopify/ProductVariant/56339343245685,QG18P,0,would_untrack
gid://shopify/Product/15633607983477,Spectrum QG20SP  Petrol Self Propelled Lawnmower – WITH FREE BLADE WORTH £39.95!,gid://shopify/ProductVariant/56332263063925,QG20SP,0,would_untrack
gid://shopify/Product/15248343236981,SHOP SOILED Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive - INCLUDING FREE PETROL BLOWER VAC WORTH £119.95!!,gid://shopify/ProductVariant/55734137749877,MF-2T2630483/M22,0,would_untrack
gid://shopify/Product/15084256362869,Atco Liner 18SH Self-Propelled Petrol Rear-Roller Lawnmower,gid://shopify/ProductVariant/55530833445237,C-299489037/AT9,0,would_untrack
gid://shopify/Product/14991021179253,Stiga Tornado 398M Side-Discharge Lawn Tractor,gid://shopify/ProductVariant/55249903419765,STIGA-398M,0,would_untrack
gid://shopify/Product/14989487505781,Spectrum PFC-10G-M Jerry Can – 10 Litre,gid://shopify/ProductVariant/55245257408885,PFC-10G-M,0,would_untrack
gid://shopify/Product/14978351923573,Atco Liner 16S Self-Propelled Petrol Rear-Roller Lawnmower,gid://shopify/ProductVariant/55199142642037,C-299439047/AT1,0,would_untrack
gid://shopify/Product/14972174172533,Spectrum STF600-PRO Flail Mower,gid://shopify/ProductVariant/55170799763829,C-STF600-PRO,0,would_untrack
gid://shopify/Product/14969808879989,Spectrum TG51PD Self-Propelled Petrol Lawnmower,gid://shopify/ProductVariant/55164095693173,TG51PD,0,would_untrack
