action,brand,shopify_sku,product_title,shopify_title,stiga_supplier_code,stiga_supplier_desc,current_price,new_price,delta,delta_pct,old_compare_at,new_compare_at,decision_reason,dry_run
applied,Mountfield,MF-2T0210483/M22,Mountfield 1328H Compact Rear-Collect Ride-On Mower with Hydrostatic Drive,Mountfield 1328H Compact Rear-Collect Ride-On Mower with Hydrostatic Drive,2T0210483/M22,1328H,2199.0,2299.0,100.0,4.5,,,,False
applied,Mountfield,MF-2T2120483/M25,Mountfield 1530H Rear-Collect Lawn Tractor with Hydrostatic Drive,Mountfield 1530H Rear-Collect Lawn Tractor with Hydrostatic Drive,2T2120483/M25,1530H,2499.0,2599.0,100.0,4.0,,,,False
applied,Mountfield,MF-2T2620483/M25,Mountfield 1538H Rear-Collect Lawn Tractor with Hydrostatic Drive,Mountfield 1538H Rear-Collect Lawn Tractor with Hydrostatic Drive,2T2620483/M25,1538H,2799.0,2899.0,100.0,3.6,3029.0,2999.0,,False
applied,Mountfield,MF-2T2630483/M22,Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,2T2630483/M22,1638H,2999.0,3099.0,100.0,3.3,,,,False
applied,Mountfield,MF-2T0830483/M25,Mountfield 1738H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Mountfield 1738H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,2T0830483/M25,1738H,3299.0,3399.0,100.0,3.0,,,,False
applied,Mountfield,MF-2T0980483/M25,Mountfield 2240H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Mountfield 2240H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,2T0980483/M25,2240H,3799.0,3899.0,100.0,2.6,,,,False
applied,Mountfield,MF-274014004/ST1,Mountfield B440 48v/4Ah Freedom 500 Lithium-Ion Battery,Mountfield B440 48v/4Ah Freedom 500 Lithium-Ion Battery,274014004/ST1,E 440,159.0,135.0,-24.0,-15.1,179.0,142.0,,False
applied,Mountfield,MF-271021100/21,Mountfield C 215 DU 20v Freedom 100 Dual Standard Charger,Mountfield C 215 DU 20v Freedom 100 Dual Standard Charger,271021100/21,C 215 DU,45.0,46.0,1.0,2.2,,45.0,,False
applied,Mountfield,MF-271504203/MUK,Mountfield MAB 20 Li Cordless Leaf-Blower,Mountfield MAB 20 Li Cordless Leaf-Blower,271504203/MUK,MAB 20 Li Kit,99.0,95.0,-4.0,-4.0,,,,False
applied,Mountfield,MF-287120153/M16,Mountfield MMT 2605 5-in-1 Petrol Multi-Tool,Mountfield MMT 2605 5-in-1 Petrol Multi-Tool,287120153/M16,MMT 2605 (5 in 1),359.0,305.0,-54.0,-15.0,,329.0,,False
skip,Mountfield,MF-2T0210483/M22-1,,Mountfield MTF 72 H Compact Rear-Collect Ride-On Mower with Hydrostatic Drive,2T0210483/M22,1328H,,,,,,,different product (MTF 72 H) despite same supplier SKU base,False
applied,Mountfield,2L0486038/M19,Mountfield SP46 Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),Mountfield SP46 Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),2L0486038/M19,SP46 Elite,439.0,389.0,-50.0,-11.4,,439.0,,False
applied,Mountfield,2L0536048/M21,Mountfield SP53 Self-Propelled 3-in-1 Petrol Lawnmower,Mountfield SP53 Self-Propelled 3-in-1 Petrol Lawnmower,2L0536048/M21,SP53,369.0,359.0,-10.0,-2.7,,,,False
,Mountfield,MF-2T2630483/M22,Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,SHOP SOILED Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive - INCLUDING FREE PETROL BLOWER VAC WORTH £119.95!!,2T2630483/M22,1638H,3099.0,3099.0,,,,,no_change,False
applied,Stiga,STIG-271021100/21,Stiga C 215 DU 20v ePower Twin-Port Battery Charger | 271021100/21,Stiga C 215 DU 20v ePower Twin-Port Battery Charger | 271021100/21,271021100/21,C 215 DU,45.0,46.0,1.0,2.2,,,,False
applied,Stiga,STIG-271021000/21,Stiga C 215 SU 20v ePower Single-Port Battery Charger | 271021000/21,Stiga C 215 SU 20v ePower Single-Port Battery Charger | 271021000/21,271021000/21,C 215,35.0,36.0,1.0,2.9,,,,False
applied,Stiga,STIG-271012008/ST1,Stiga E22 20v/2Ah ePower Lithium-Ion Battery | 271012008/ST1,Stiga E22 20v/2Ah ePower Lithium-Ion Battery | 271012008/ST1,271012008/ST1,E 22,46.0,40.0,-6.0,-13.0,,,,False
applied,Stiga,STIG-271014008/ST1,Stiga E24 20v/4Ah ePower Lithium-Ion Battery | 271014008/ST1,Stiga E24 20v/4Ah ePower Lithium-Ion Battery | 271014008/ST1,271014008/ST1,E 24,72.0,60.0,-12.0,-16.7,,,,False
applied,Stiga,STIG-274012004/ST1,Stiga E420 48v/2Ah ePower Lithium-Ion Battery | 274012004/ST1,Stiga E420 48v/2Ah ePower Lithium-Ion Battery | 274012004/ST1,274012004/ST1,E 420,119.0,105.0,-14.0,-11.8,,109.0,,False
applied,Stiga,274014004/ST1,Stiga E440 48v/4Ah ePower Lithium-Ion Battery 274014004/ST1,Stiga E440 48v/4Ah ePower Lithium-Ion Battery 274014004/ST1,274014004/ST1,E 440,149.0,135.0,-14.0,-9.4,,142.0,,False
applied,Stiga,STIG-2F7064705/ST1,Stiga Gyro 900e ‘Drive-by-Wire’ Electric Battery-Powered Axial Ride-On Lawnmower,Stiga Gyro 900e ‘Drive-by-Wire’ Electric Battery-Powered Axial Ride-On Lawnmower,2F7064705/ST1,Gyro 900e,9699.0,9249.0,-450.0,-4.6,11229.0,10399.0,,False
applied,Stiga,STIG-HT-ATTACH-226,Stiga Hedgetrimmer Attachment for Split-Shaft Brushcutters | 232511710/15,Stiga Hedgetrimmer Attachment for Split-Shaft Brushcutters | 232511710/15,232511710/15,HEDGE TRIMMER ATTACHMENT,89.0,80.0,-9.0,-10.1,,,,False
applied,Stiga,STIG-240271012/ST2,"Stiga PR 730 C Top-Handle Petrol Arborist’s Chainsaw with 1/4"" Chain (25cm Guide Bar)","Stiga PR 730 C Top-Handle Petrol Arborist’s Chainsaw with 1/4"" Chain (25cm Guide Bar)",240271012/ST2,"PR 730 C (10"")",239.0,205.0,-34.0,-14.2,,229.0,,False
