product_code,shopify_sku,shopify_title,current_price,workbook_price,price_delta,price_delta_pct,price_action,price_skip_reason,old_compare_at,new_compare_at,expected_stock,actual_stock,stock_diff,stock_tolerance,stock_action,stock_skip_reason,score,match_method
210310022/10,,,,,,,skip,unmatched,,,,,,,skip,unmatched,,
210870042/ST2,STIG-210870042/ST2,Stiga Silex 87 G Scythe Mower,799.0,819.0,20.0,2.5,apply,,,,,,,,skip,workbook_qty_missing,97.0,tfidf+rapidfuzz
211360042/ST1,STIG-SRC-36V,Stiga SRC 36 V Petrol Front-Tine Tiller,259.0,269.0,10.0,3.9,apply,,,,,,,,skip,workbook_qty_missing,97.0,tfidf+rapidfuzz
211360043/M20,MF-MANOR-COMPACT-36,Mountfield Manor Compact 36 V Petrol Front-Tine Cultivator,279.0,269.0,-10.0,-3.6,apply,,,,,,,,skip,workbook_qty_missing,97.0,tfidf+rapidfuzz
211400248/ST1,STIG-211400248/ST1,Stiga SVP 40 G Petrol Scarifier,499.0,509.0,10.0,2.0,apply,,599.0,559.0,,,,,skip,workbook_qty_missing,97.0,tfidf+rapidfuzz
212751142/14,,,,,,,skip,unmatched,,,,,,,skip,unmatched,,
213851142/ST1,STIG-213851142/ST1,Stiga SRC 685 RG Petrol Front-Tine Tiller,499.0,599.0,100.0,20.0,apply,,579.0,629.0,,,,,skip,workbook_qty_missing,97.0,tfidf+rapidfuzz
219510032/10,,,,,,,skip,unmatched,,,,,,,skip,unmatched,,
219602532/S17,STIG-219602532/S17,Stiga SWS 600 G Self-Propelled Sweeper,919.0,819.0,-100.0,-10.9,apply,,,,,,,,skip,workbook_qty_missing,97.0,tfidf+rapidfuzz
219802532/S17,STIG-SWS-800G,Stiga SWS 800 G Self-Propelled Sweeper,1029.0,925.0,-104.0,-10.1,apply,,,,,,,,skip,workbook_qty_missing,97.0,tfidf+rapidfuzz
232511610/16,STIG-EXT-SHAFT-226,Stiga Extension Pole for Split-Shaft Brushcutters | 232511610/16,35.0,30.0,-5.0,-14.3,apply,,,,,,,,skip,workbook_qty_missing,92.32,tfidf+rapidfuzz
232511710/15,,,,,,,skip,unmatched,,,,,,,skip,unmatched,,
232511810/15,,,,,,,skip,unmatched,,,,,,,skip,unmatched,,
240271002/ST2,,,,,,,skip,unmatched,,,,,,,skip,unmatched,,
240271012/ST2,,,,,,,skip,unmatched,,,,,,,skip,unmatched,,
240381402/ST1,STIG-240381402/ST1,Stiga CS 540 Petrol Chainsaw (35cm Guide Bar),159.0,155.0,-4.0,-2.5,apply,,,,,,,,skip,workbook_qty_missing,81.43,tfidf+rapidfuzz
