shopify_sku,source,shopify_title
274014004/ST1,miss_fixup,Stiga E440 48v/4Ah ePower Lithium-Ion Battery 274014004/ST1
294386063/M26,main_sync,Mountfield Princess 38 Li KIT 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger)
2L0486038/M19,miss_fixup,Mountfield SP46 Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine)
2L0536048/M21,miss_fixup,Mountfield SP53 Self-Propelled 3-in-1 Petrol Lawnmower
2T1950381/ST1,main_sync,Stiga Tornado 9121 W Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive
AT-299439077/AT1,main_sync,Atco Liner 16S Li KIT 48v Cordless Self-Propelled Roller Lawnmower (Inc. Batteries & Charger)
AT-299489077/AT1,main_sync,Atco Liner 18S Li KIT 48v Cordless Self-Propelled Roller Lawnmower (Inc. Batteries & Charger)
AT-2T2110447/AT2,main_sync,Atco GT 30H Rear-Collect Lawn Tractor with Hydrostatic Drive
AT-2T2630447/AT2,main_sync,Atco GT 38H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
C-294519037/AT1,main_sync,Atco Liner 19SH V Variable-Speed Petrol Rear-Roller Lawnmower (Honda Engine)
C-294569037/AT1,main_sync,Atco Liner 22SH V Variable-Speed Petrol Rear-Roller Lawnmower (Honda Engine)
C-299439047/AT1,main_sync,Atco Liner 16S Self-Propelled Petrol Rear-Roller Lawnmower
C-299489037/AT9,main_sync,Atco Liner 18SH Self-Propelled Petrol Rear-Roller Lawnmower
C-2T2630481/ST2,main_sync,Stiga Estate 598 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
MF-271021100/21,miss_fixup,Mountfield C 215 DU 20v Freedom 100 Dual Standard Charger
MF-271102203/MUK,main_sync,Mountfield MTR 20 Li KIT 20v Cordless Grass-Trimmer (Inc. Battery & Charger)
MF-271302203/MUK,main_sync,Mountfield MHT 20 Li KIT 20v Cordless Hedgetrimmer (Inc. Battery & Charger)
MF-271504203/MUK,miss_fixup,Mountfield MAB 20 Li Cordless Leaf-Blower
MF-271724203/MUK,main_sync,"Mountfield MMT 20 Li KIT 20v Cordless Multi-Tool (Inc, Battery & Charger)"
MF-274014004/ST1,miss_fixup,Mountfield B440 48v/4Ah Freedom 500 Lithium-Ion Battery
MF-281210003/21,main_sync,Mountfield TR 425 HJ 4-Stroke Curved-Shaft Petrol Grass-Trimmer (Honda Engine)
MF-281220003/21,main_sync,Mountfield BC 425 HJ 4-Stroke Petrol Brushcutter (Honda Engine)
MF-281221003/21,main_sync,Mountfield BC 425 HD 4-Stroke Petrol Brushcutter (Honda Engine)
MF-281320003/21,main_sync,Mountfield BC 435 H 4-Stroke Petrol Brushcutter (Honda Engine)
MF-281321003/21,main_sync,Mountfield BC 435 HD 4-Stroke Petrol Brushcutter (Honda Engine)
MF-281520003/21,main_sync,Mountfield BC 450 H 4-Stroke Petrol Brushcutter (Honda Engine)
MF-281521003/21,main_sync,Mountfield BC 450 HD 4-Stroke Petrol Brushcutter (Honda Engine)
MF-287120153/M16,miss_fixup,Mountfield MMT 2605 5-in-1 Petrol Multi-Tool
MF-291302063/M21,main_sync,Mountfield Electress 30 Li 20v Hand-Propelled Cordless Lawnmower (Inc. Battery & Charger)
MF-291342063/M21,main_sync,Mountfield Electress 34 Li KIT 20v Hand-Propelled Cordless Lawnmower (Inc. Batteries & Charger)
MF-291382063/M21,main_sync,Mountfield Electress 38 Li KIT 20v Hand-Propelled Cordless Lawnmower (Inc. Batteries & Charger)
MF-299489073/M22,main_sync,Mountfield Empress 46 Li KIT 4-in-1 Self-Propelled Cordless Lawnmower (Inc. 2 x Batteries & Charger)
MF-2T0210483/M22,miss_fixup,Mountfield 1328H Compact Rear-Collect Ride-On Mower with Hydrostatic Drive
MF-2T0510483/M25,main_sync,Mountfield 1538M-SD Side-Discharge Lawn Tractor with Manual Drive
MF-2T0620483/M25,main_sync,Mountfield 1538H-SD Side-Discharge Lawn Tractor with Hydrostatic Drive
MF-2T0830483/M25,miss_fixup,Mountfield 1738H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
MF-2T0980483/M25,miss_fixup,Mountfield 2240H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
MF-2T1210483/M25,main_sync,Mountfield 1543H-SD Side-Discharge Lawn Tractor with Hydrostatic Drive
MF-2T2120483/M25,miss_fixup,Mountfield 1530H Rear-Collect Lawn Tractor with Hydrostatic Drive
MF-2T2620483/M25,miss_fixup,Mountfield 1538H Rear-Collect Lawn Tractor with Hydrostatic Drive
MF-2T2630483/M22,miss_fixup,Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
MF-34LI-F48,main_sync,Mountfield Princess 34 Li KIT 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger)
MF-MANOR-COMPACT-36,main_sync,Mountfield Manor Compact 36 V Petrol Front-Tine Cultivator
MF-PRINCESS-34,main_sync,Mountfield Princess 34 Electric 4-Wheel Roller Lawnmower
MF-PRINCESS-38,main_sync,Mountfield Princess 38 Electric 4-Wheel Roller Lawnmower
PARK500W_100COMBI,main_sync,Stiga Park 500 W V-Twin Front-Cut Ride-On Lawnmower Including Combi 100 Q Plus Deck
STIG-210870042/ST2,main_sync,Stiga Silex 87 G Scythe Mower
STIG-211400248/ST1,main_sync,Stiga SVP 40 G Petrol Scarifier
STIG-213851142/ST1,main_sync,Stiga SRC 685 RG Petrol Front-Tine Tiller
STIG-219602532/S17,main_sync,Stiga SWS 600 G Self-Propelled Sweeper
STIG-240271002/ST2,miss_fixup,"Stiga PR 730 Top-Handle Petrol Arborist’s Chainsaw with 3/8"" Chain (25cm Guide Bar)"
STIG-240271012/ST2,miss_fixup,"Stiga PR 730 C Top-Handle Petrol Arborist’s Chainsaw with 1/4"" Chain (25cm Guide Bar)"
STIG-240381402/ST1,main_sync,Stiga CS 540 Petrol Chainsaw (35cm Guide Bar)
STIG-240421602/ST1,main_sync,Stiga CS 545 Petrol Chainsaw (40cm Guide Bar)
STIG-240461802/ST1,main_sync,Stiga CS 750 Petrol Chainsaw (45cm Guide Bar)
STIG-240521802/ST1,main_sync,Stiga CS 755 Petrol Chainsaw (45cm Guide Bar)
STIG-252421008/ST2,main_sync,Stiga HT 525 Petrol Hedgetrimmer (60cm Blades)
STIG-255127002/ST1,main_sync,Stiga BL 530 V Petrol Blower-Vac
STIG-255127092/ST2,main_sync,Stiga BL 530 Petrol Leaf-Blower
STIG-255175102/ST1,main_sync,Stiga BL 980 R Backpack Blower
STIG-271012008/ST1,miss_fixup,Stiga E22 20v/2Ah ePower Lithium-Ion Battery | 271012008/ST1
STIG-271014008/ST1,miss_fixup,Stiga E24 20v/4Ah ePower Lithium-Ion Battery | 271014008/ST1
STIG-271021000/21,miss_fixup,Stiga C 215 SU 20v ePower Single-Port Battery Charger | 271021000/21
STIG-271021100/21,miss_fixup,Stiga C 215 DU 20v ePower Twin-Port Battery Charger | 271021100/21
STIG-271102218/UKS,main_sync,Stiga GT 100e KIT 20v 2-in-1 Cordless Grass-Trimmer & Lawn Edger (Inc. Battery & Charger)
STIG-271302218/UKS,main_sync,Stiga HT 100e KIT 20v Cordless Hedgetrimmer (Inc. Battery & Charger)
STIG-271504218/UKS,main_sync,Stiga BL 100e KIT 20v Cordless Leaf-Blower (Inc. Battery & Charger)
STIG-271504298/UKS,main_sync,Stiga VS 100e KIT 20v Cordless Blower-Vac (Inc. 2 x Batteries & Charger)
STIG-271724218/UKS,main_sync,Stiga MT 100e KIT 20v Cordless Multi-Tool (Inc. Battery & Charger)
STIG-274012004/ST1,miss_fixup,Stiga E420 48v/2Ah ePower Lithium-Ion Battery | 274012004/ST1
STIG-278102208/UKS,main_sync,Stiga GT 500e KIT 48v Cordless Grass-Trimmer (Inc. Battery & Charger)
STIG-278302208/UKS,main_sync,Stiga HT 500e KIT 48v Cordless Hedgetrimmer (Inc. Battery & Charger)
STIG-278502208/UKS,main_sync,Stiga BL 500e KIT 48v Cordless Leaf-Blower (Inc. Battery & Charger)
STIG-283220008/ST1,main_sync,Stiga BC 730 Petrol Brushcutter
