"id","org_id","created_date","created_by_user_id","last_modified_date","last_modified_by_user_id","deleted_date","deleted_by_user_id","product_code","product_sku","product_name","product_description","cost_price","cost_price_average","cost_price_percentage","cost_chart_of_accounts","cost_currency","premium_declaration_cost_price","underwriter_cost_price","underwriter_cost_price_percentage","agent_cost_price","agent_cost_price_percentage","sell_currency","sell_price","sell_chart_of_accounts","status","product_type","product_category","pending_product_qty_in_stock","product_qty_in_stock","manage_stock","stock_value","resell_value","minimum_retail_price","maximum_retail_price","template_id","company_id","start_date","end_date","external_reference","sales_unit","recommended_retail_price","weight","service_levy_percentage","admin_fee","service_provision","plan_operating_charge","clip_fee_percentage","location","margin_calculation","supplier_id","part_number","bay","ean_barcode","product_image"
66335,6,,,,666,,,"139PTIL-63C-RET","139PTIL-63C-RET","RACING 139PTIL63-C PETROL FRONT TINE TILLER - EX DEMO","RACING 139PTIL63-C PETROL FRONT TINE TILLER - EX DEMO",116.44,116.44,,"4017","GBP",,,,,,"GBP",149.95,"4017","Active","4017 - TILLERS & CULTIVATORS","2",0,0,0,0,0,,,,,,,"139PTIL-63C-RET",,,,,,,,,"",,,,,,
66336,6,,,"2025-11-13T13:55:39.000Z",24305274,,,"19052001","19052001","ROLLER HALF - FITS FEIDER 21"" ROLLER MODELS","ROLLER HALF - FITS FTDTR5220 / FTDTR5220ES ",11.55,11.55,,"4098","GBP",,,,,,"GBP",24.99,"4098","Active","4098 - SPARE PARTS","15",0,0,1,0,0,,,,,,,"19052001",,,6,,,,,,"B3S3",,752066,"19052001",,,
66337,6,,,,666,,,"19157065","19157065","BLADE               FITS FTDT4640(ES)","BLADE               FITS FTDT4640(ES)",14.4,14.4,,"4098","GBP",,,,,,"GBP",28.8,"4098","Active","4098 - SPARE PARTS","15",0,1,1,14.4,28.8,,,,,,,"19157065",,,,,,,,,"",,,,,,
66339,6,,,,666,,,"22301018","22301018","BELT","BELT",0.94,0,,"4098","GBP",,,,,,"GBP",15,"4098","Active","4098 - SPARE PARTS","15",0,0,1,0,0,,,,,,,"22301018",,,,,,,,,"",,,,,,
66340,6,,,,666,,,"232511610/16","232511610/16","STIGA EXTENSION POLE FOR SPLIT SHAFT BRUSHTCUTTERS","STIGA EXTENSION POLE FOR SPLIT SHAFT BRUSHTCUTTERS",14.78,0,,"4025","GBP",,,,,,"GBP",33.95,"4025","Active","4025 - MISC","32",0,0,1,0,0,,,,,,,"232511610/16",,,,,,,,,"",,,,,,
66341,6,,,,666,,,"283321008/ST2","283321008/ST2","STIGA BC 740 B PETROL BRUSHCUTTER","STIGA BC 740 B PETROL BRUSHCUTTER",193.73,193.73,,"4012","GBP",,,,,,"GBP",300,"4012","Active","4012 - HANDHELD PRODCUTS","32",0,0,1,0,0,,,,,,,"283321008/ST2",,,8.3,,,,,,"",,,,,,
66342,6,,,,666,,,"2T1210483/M25","2T1210483/M25","MOUNTFIELD 1543H SD HYDROSTATIC LAWN AND GARDEN TRACTOR","MOUNTFIELD 1543H SD HYDROSTATIC LAWN AND GARDEN TRACTOR",1513.45,1312.87,,"4011","GBP",,,,,,"GBP",2619,"4011","Active","4011 - RIDE ON LAWNMOWERS","31",0,-2,1,-3026.9,-5238,,,,,,,"2T1210483/M25",,,159,,,,,,"",,,,,,
66343,6,,,,666,,,"5818430-01","5818430-01","GENUINE HUSQVARNA BLADE BOSS","GENUINE HUSQVARNA BLADE BOSS",16.22,16.1,,"4098","GBP",,,,,,"GBP",33,"4098","Active","4098 - SPARE PARTS","20",0,0,1,0,0,,,,,,,"5818430-01",,,,,,,,,"",,,,,,
66345,6,,,,666,,,"799579","799579","BRIGGS AND STRATTON AIR FILTER","BRIGGS AND STRATTON AIR FILTER",2.8,2.8,,"4098","GBP",,,,,,"GBP",4.95,"4098","Active","4098 - SPARE PARTS","1",0,0,1,0,0,,,,,,,"799579",,,,,,,,,"",,,,,,
66346,6,,,,666,,,"B593934","B593934","STARTER MOTOR","STARTER MOTOR",109.99,109.99,,"4098","GBP",,,,,,"GBP",219.98,"4098","Active","4098 - SPARE PARTS","20",0,1,1,109.99,219.98,,,,,,,"B593934",,,,,,,,,"",,,,,,
66347,6,,,,666,,,"BDDELCHARGES","BDDELCHARGES","CHARGES FOR VEHICLE CHARGES - MARCH 2024","CHARGES FOR VEHICLE CHARGES - MARCH 2024",1320,0,,"4905","GBP",,,,,,"GBP",0,"4905","Active","4905 - Distribution and Carriage","300",0,0,1,0,0,,,,,,,"BDDELCHARGES",,,,,,,,,"",,,,,,
66348,6,,,,666,,,"BDMARKETINGCHARGE","BDMARKETINGCHARGE","MARKETING CHARGES - SOCIAL MEDIA","MARKETING CHARGES - SOCIAL MEDIA",1260,0,,"4900","GBP",,,,,,"GBP",0,"4900","Active","4900 - Miscellaneous Income","300",0,0,1,0,0,,,,,,,"BDMARKETINGCHARGE",,,0,,,,,,"",,,,,,
66349,6,,,,666,,,"BOU009","BOU009","JR BOU009 Replaces: Bosch WSR6F, Champion RCJ7Y, Denso W20MP-U, NGK BPMR7A, Torch L7RTC","JR BOU009 Replaces: Bosch WSR6F, Champion RCJ7Y, Denso W20MP-U, NGK BPMR7A, Torch L7RTC",0.79,0.79,,"4098","GBP",,,,,,"GBP",6.98,"4098","Active","4098 - SPARE PARTS","15",0,3,1,2.37,20.94,,,,,,,"BOU009",,,,,,,,,"",,,,,,
66350,6,,,,777,,,"02071496","02071496","DRIVE BELT","DRIVE BELT",7.8,7.8,,"4098","GBP",,,,,,"GBP",31,"4098","Active","4098 - SPARE PARTS","15",0,0,1,0,0,,,,,,,"C-02071496",,,,,,,,,"",,,,,,
66351,6,,,,777,,,"02071497","02071497","BELT - CUTTING                 (BELTA39)","BELT - CUTTING                 (BELTA39)",6.57,6.57,,"4098","GBP",,,,,,"GBP",23.96,"4098","Active","4098 - SPARE PARTS","15",0,0,1,0,0,,,,,,,"C-02071497",,,,,,,,,"4B",,752066,,,,
66352,6,,,,777,,,"0300010609","0300010609","SCREW","SCREW",0.45,0.45,,"4098","GBP",,,,,,"GBP",1,"4098","Active","4098 - SPARE PARTS","20",0,0,1,0,0,,,,,,,"C-0300010609",,,,,,,,,"",,752095,,,,
66353,6,,,,777,,,"0306030036","0306030036","HARNESS BELT","HARNESS BELT",35.91,35.91,,"4098","GBP",,,,,,"GBP",62.48,"4098","Active","4098 - SPARE PARTS","20",0,0,1,0,0,,,,,,,"C-0306030036",,,,,,,,,"",,752095,,,,
66354,6,,,,777,,,"0340040014","0340040014","DON'T USE","DON'T USE",0,0,,"4025","GBP",,,,,,"GBP",0,"4025","Active","4025 - MISC","19",0,0,1,0,0,,,,,,,"C-0340040014",,,,,,,,,"",,752095,,,,
66355,6,,,,777,,,"04041450","04041450","CHAIN   FITS FTRT494","CHAIN   FITS FTRT494",6,6,,"4098","GBP",,,,,,"GBP",29.95,"4098","Active","4098 - SPARE PARTS","15",0,0,1,0,0,,,,,,,"C-04041450",,,,,,,,,"",,,,,,
66356,6,,,,777,,,"04121135","04121135","BLADES                  [FITS FBT70]","BLADES                  [FITS FBT70]",12.24,12.24,,"4098","GBP",,,,,,"GBP",29.37,"4098","Active","4098 - SPARE PARTS","15",0,0,1,0,0,,,,,,,"C-04121135",,,,,,,,,"",,,,,,
66357,6,,,,777,,,"06541-VB5-A01","06541-VB5-A01","DRIVE CABLE -                                  FITS HRD536","DRIVE CABLE -                                  FITS HRD536",14.99,19.74,,"4098","GBP",,,,,,"GBP",48.96,"4098","Active","4098 - SPARE PARTS","20",0,0,1,0,0,,,,,,,"C-06541-VB5-A01",,,,,,,,,"",,752107,,,,
66358,6,,,,777,,,"092317","092317","FUEL CAP    FITS FRT7550M","FUEL CAP    FITS FRT7550M",3.9,0,,"4098","GBP",,,,,,"GBP",19.73,"4098","Active","4098 - SPARE PARTS","15",0,0,1,0,0,,,,,,,"C-092317",,,,,,,,,"",,,,,,
66359,6,,,,777,,,"1000","1000","DISPOSABLES","DISPOSABLES",0.01,0.01,,"4096","GBP",,,,,,"GBP",5.5,"4096","Active","4096 - CONSUMABLES & DISPOSABLES","201",0,-64,1,-0.64,-352,,,,,,,"C-1000",,,,,,,,,"",,,,,,
66360,6,,,"2025-11-12T16:02:18.000Z",24305274,,,"1011","1011","FRT75BS125 CUTTING BELT","Universal 4L450K V Belt (1/2"" Section) - FRT75BS125 CUTTING BELT",16.2,15.7,,"4098","GBP",,,,,,"GBP",34.95,"4098","Active","4098 - SPARE PARTS","20",0,3,1,48.6,104.85,,,,,,,"C-1011",,,,,,,,,"4C",,,,,,
