Product Code,Product Description,Quantity in Stock,Sell Price ex VAT,Sell Price inc VAT,
2T2010483/M25,MOUNTFIELD 1330M REAR-COLLECT LAWN TRACTOR WITH MANUAL DRIVE,156,1499.16666666667,1799,
2T0052483/CAS,MOUNTFIELD 827M RIDE-ON LAWNMOWER,182,1166.625,1399.95,
2T0980473/C22,CASTEL GARDEN PTX 210 HD LAWN TRACTOR,11,2915.83333333333,3499,
DC24-4,SPECTRUM DC24-4 RIDE ON MOWER,41,1083.29166666667,1299.95,
SBS40CB,SPECTRUM BY SWIFT SBS40CB 4.0AH BATTERY,821,60.625,72.75,
TG561-SWT,SPECTRUM TG561-SWT SELF PROPELLED WHEELED TRIMMER,155,283.291666666667,339.95,
TG56-PRO,SPECTRUM TG56-PRO LAWNMOWER,86,333.291666666667,399.95,
TG48-PRO,SPECTRUM TG48-PRO VARIABLE SPEED PETROL LAWNMOWER,86,308.291666666667,369.95,
TG51SE,SPECTRUM TG51SE KEY START LAWNMOWER,126,316.625,379.95,
TG56SE,SPECTRUM TG56SE KEY START LAWNMOWER,98,416.625,499.95,
DCT38M-SDM,SPECTRUM DCT38M-SDM 2-IN-1 SIDE DISCHARGE GARDEN TRACTOR WITH GEAR DRIVE,15,1499.95833333333,1799.95,
TG45SC-E,"TG45SC-E PETROL SCARIFIER 2-IN-1, ELECTRIC KEY START",95,333.291666666667,399.95,
SW420-EXPERT,SPECTRUM SW420 EXPERT 2 IN 1 PETROL SCARIFIER,97,291.625,349.95,
HF2625HME,HONDA HF 2625 HME PREMIUM LAWN TRACTOR,3,4665.83333333333,5599,
TG45SC,"SPECTRUM TG45SC PETROL SCARIFIER 2-IN-1, RECOIL START",100,308.291666666667,369.95,
DM26PBV,SPECTRUM DM26PBV PETROL BLOWER-VAC,240,116.625,139.95,
2T2630447/AT2,ATCO GT 38H REAR-COLLECT V-TWIN GARDEN TRACTOR,6,2416.625,2899.95,
CS-621SX/50,"ECHO CS-621SX/50 PETROL CHAINSAW 20"" GUIDE BAR",2,674.166666666667,809,
LPW2200,SPECTRUM LPW2200 ELECTRIC PRESSURE WASHER,225,116.625,139.95,
HRX476QY,HONDA HRX 476 QY ROLLER LAWNMOWER,10,874.166666666667,1049,
2T1315481/ST1,Stiga Estate 7122 W REAR COLLECT V-TWIN GARDEN TRACTOR WITH HYDROSTATIC DRIVE ,3,3482.5,4179,
2T1425473/C22,Castel Garden XHT 240 4WD Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,2,5749.16666666667,6899,
T92H,"HARRY T92H TRACTOR 36"" DECK 432CC ENGINE""",5,1915.83333333333,2299,
HF2417K5HT,HONDA HF 2417 HTE PREMIUM GARDEN TRACTOR,2,4079.16666666667,4895,
